nを切り捨てながらn2分の一にする	n //= n2
横棒グラフを青緑色で描画する	plt.barh(データ列x, データ列y, color='teal')
リストの要素をソートする	sorted(aList)
横棒グラフを積み上げにする	plt.barh(ラベル列, データ列, bottom=データ列y, color='#800080')
データシリーズの第三四分位数	ds.quantile(0.75)
折れ線グラフの色を青緑に設定する	plt.plot(データ列x, データ列y, color='teal')
散布図の色をプラムにする	plt.scatter(データ列x, データ列y, color='plum')
散布図のマーカーの大きさを指定する	plt.scatter(データ列x, データ列y, s=n)
最初のカテゴリーを除外してデータフレームのある列をダミー変数に変換する	pd.get_dummies(df['列A'], drop_first=True)
データフレームから指定した二つの列を抽出する	df[['列A', '列B']]
空のリスト	[]
ある列の値がx以上、y以下の行を抽出する	df[(x <= df['列A']) & (df['列A'] <= y)]
option: インディアンレッド色を使う	color = 'indianred'
データを最大値と最小値で正規化する	sklearn.preprocessing.MinMaxScaler().fit_transform(データ)
データフレームの欠損値を平均値で埋める	df.fillna(df.mean())
散布図の大バツマーカーを黒くする	plt.scatter(データ列x, データ列y, marker='X', markerfacecolor='k')
折れ線グラフの色をダークオーキッドに設定する	plt.plot(データ列x, データ列y, color='darkorchid')
option: グラフの色をスチールブルーに設定する	color = 'steelblue'
option: ダークマゼンタ色を使う	color = 'darkmagenta'
イテラブルを文字列リストに変換して、'改行で連結する	'\n'.join(map(str, iterable))
散布図をライトグリーン色で描画する	plt.scatter(データ列x, データ列y, color='lightseagreen')
nプラスn2	n + n2
棒グラフの色をダークゴールデンロッドにする	plt.bar(データ列x, データ列y, color='darkgoldenrod')
データフレームを二つの列によってソートする	df.sort_values(by=['列A', '列B'])
ヒストグラムをコーラル色で描画する	plt.hist(データ列, color='coral')
折れ線グラフの四角マーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='s', markersize=2.0)
データフレームからn行、サンプリングする	df.sample(n)
黄色色の線グラフを描画する	plt.plot(データ列x, データ列y, color='yellow')
リストの末尾を取り除く	aList[:-1]
ヒストグラムをライトゴールドロディイエロー色で描画する	plt.hist(データ列, color='lightgoldenrodyellow')
数式の数値を求める	float(e)
option: グラフの色をシアンに設定する	color = 'cyan'
日付データをISO形式の文字列に変換する	aDate.isoformat()
スチールブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='steelblue')
option: グラフの色をスラグレーに設定する	color = 'slategrey'
日付時刻データからn週間分、減算する	aDatetime - datetime.timedelta(weeks=n)
option: グラフの色をコーンフラワーブルーに設定する	color = 'cornflowerblue'
配列の累積積	np.cumprod(aArray)
棒グラフの色をパールゴールデンロッドにする	plt.bar(データ列x, データ列y, color='palegoldenrod')
文字列中の部分文字列の出現をカウントする	s.count(sub)
年月日と時刻から日付時刻	datetime.datetime(年, 月, 日, 時, 分, 秒)
データフレームの欠損値を最小値で埋める	df.fillna(df.min())
データフレームの列の種類	df.info()
列名を指定して二つのデータフレームを左ジョインする	pd.merge(df, df2, on='列A', how='left')
棒グラフの色をコーンフラワーブルーにする	plt.bar(データ列x, データ列y, color='cornflowerblue')
データフレームをソートして、上位n件を取り出す	df.sort_values('キーとなる列').head(n)
折れ線グラフをミスティローズ色で描画する	plt.plot(データ列x, データ列y, color='mistyrose')
option: マーカーの色をベージュにする	markerfacecolor = 'beige'
散布図に大バツマーカーを使う	plt.plot(データ列x, データ列y, marker='X')
option: マーカーの大きさを変更する	markersize = 2.0
スピアマン相関係数でデータフレームの選択した列の相関行列を求める	df[['列A', '列B']].corr(method='spearman')
option: マーカーの色をオーキッドにする	markerfacecolor = 'orchid'
リストとリストについての散布図にrgbの四角マーカーを描画する	plt.plot(データ列x, データ列y, marker='s', c=rgb)
option: マーカーの色をピンクにする	markerfacecolor = 'pink'
option: グラフの色をパールバイオレットレッドに設定する	color = 'palevioletred'
文字列の開始位置からと終了位置の間に部分文字列が含まれるか調べる	s.find(sub, start, end) != -1
ヒストグラムベースの勾配ブースティング回帰木を作る	model = sklearn.ensemble.HistGradientBoostingRegressor()
ランダム性を強化したランダムフォレストでクラス分類を行う	model = sklearn.ensemble.ExtraTreeClassifier(n_estimators=10)
異なるn個のものからk個選ぶ場合の数	math.comb(n, k)
グラフの横軸を対数に変更する	plt.xscale('log')
配列の偏差値を求める	50 + 10 * scipy.stats.zscore(配列)
データフレームの選択したカラムの値をValueMapでまとめて置き換える	df[['列A', '列B']].replace(ValueMap)
折れ線グラフの色をチョコレートに設定する	plt.plot(データ列x, データ列y, color='chocolate')
長さnのリスト	[0] * n
ライトイエロー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightyellow')
横棒グラフを赤くする	plt.barh(データ列x, データ列y, color='r')
パレットトルコイズ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='paleturquoise')
折れ線グラフをコーンフラワーブルー色で描画する	plt.plot(データ列x, データ列y, color='cornflowerblue')
グラフをスライド用に設定する	sns.set(context='talk')
ライトグレー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightgrey')
ヒストグラムをハニーデュー色で描画する	plt.hist(データ列, color='honeydew')
横棒グラフをカーキ色で描画する	plt.barh(データ列x, データ列y, color='khaki')
option: グラフの色を暗い赤に設定する	color = 'darkred'
横棒グラフをライトブルー色で描画する	plt.barh(データ列x, データ列y, color='lightblue')
option: マーカーの色を白にする	markerfacecolor = 'white'
横棒グラフを青紫色で描画する	plt.barh(データ列x, データ列y, color='violet')
折れ線グラフの色をライトグレーに設定する	plt.plot(データ列x, データ列y, color='lightgrey')
データフレーム中の欠損値をドロップする	df.dropna(inplace=True)
青緑色の線グラフを描画する	plt.plot(データ列x, データ列y, color='teal')
ヒストグラムをミスティローズ色で描画する	plt.hist(データ列, color='mistyrose')
option: グラフの色をカーキに設定する	color = 'khaki'
散布図の色をライトスレイグレーにする	plt.scatter(データ列x, データ列y, color='lightslategrey')
option: マーカーの色をミディアムシアグリーンにする	markerfacecolor = 'mediumseagreen'
nがn2よりも大きいか調べる	n > n2
整数乱数で要素を埋めた行列	np.random.randint(開始値, 終了値, (行数, 列数))
散布図の色をフローラルホワイトにする	plt.scatter(データ列x, データ列y, color='floralwhite')
ライム色のヒストグラムを描画する	plt.hist(データ列, color='lime')
折れ線グラフの右三角マーカーの色を変更する	plt.plot(データ列x, データ列y, marker='>', markerfacecolor='#800080')
折れ線グラフに右三角マーカーを使う	plt.plot(データ列x, データ列y, marker='>')
データシリーズの欠損値をxで埋める	ds.fillna(x)
文字コードを文字に変換する	chr(unicode)
要素が辞書の値に含まれていないか調べる	element not in aDict.values()
青い一点鎖線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', color='b')
ライトイエロー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightyellow')
シアン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='cyan')
プログラムの実行を強制的に終了する	sys.exit()
オブジェクトをデバッグ向けの文字列に変換する	repr(obj)
文字列全体が正規表現に複数行対応としてマッチするか見る	re.fullmatch(pattern, s, flags=re.MULTILINE)
集合の全ての要素が別の集合に含まれるか調べる	aSet.issubset(aSet2)
ヒストグラムをミディアムアクアマリン色で描画する	plt.hist(データ列, color='mediumaquamarine')
データフレームのあるカラムが何年か見る	df['列A'].dt.year
option: グラフの色をクリムゾンに設定する	color = 'crimson'
データフレームの選択したカラムの標本分散	df[['列A', '列B']].var(ddof=0)
ケンドール相関係数でデータフレームの選択した列の相関行列を求める	df[['列A', '列B']].corr(method='kendall')
option: 追加モードに設定する	mode = 'a'
グラフの見栄えを良くする	import seaborn as sns
データ列のエポック秒を日付データに変換する	pd.to_datetime(ds, unit='s', utc=True)
折れ線グラフをホットピンク色で描画する	plt.plot(データ列x, データ列y, color='hotpink')
散布図のポイントマーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='.', markersize=2.0)
文字列の右側から部分文字列を取り除く	s.rstrip(sub)
青い破線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='b')
ヒストグラムの色をロイヤルブルーに設定する	plt.hist(データ列, color='royalblue')
黒い右三角マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='>', c='k')
折れ線グラフに黒いポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.', markerfacecolor='k')
文字列を二分する	s.partition(sep)
散布図にrgbの大バツマーカーを使う	plt.plot(データ列x, データ列y, marker='X', c=rgb)
itertoolsモジュールをインポートする	import itertools
棒グラフをシルバー色で描画する	plt.bar(データ列x, データ列y, color='silver')
ファイルを追加できるようにオープンする]	open(filepath, mode='a')
第二コマンド引数	sys.argv[1]
文字列の接頭辞が部分文字列か調べる	s.startswith(sub)
osモジュールをインポートする	import os
サポートベクターマシンで回帰分析を行う	model = sklearn.svm.SVR(kernel='rbf', C=1e3, gamma=0.1, epsilon=0.1)
散布図の三角マーカーを黒くする	plt.scatter(データ列x, データ列y, marker='^', markerfacecolor='k')
棒グラフをターコイズ色で描画する	plt.bar(データ列x, データ列y, color='turquoise')
文字列を最後の部分文字列で二分し、後半の文字列を使う	s.rpartition(sub)[-1]
配列の列ごとの合計値	np.sum(aArray, axis=0)
option: バリーウッド色を使う	color = 'burlywood'
option: タブをセパレータで使う	sep = '\t'
イテラブルのコンビネーション	itertools.combinations(iterable, n)
縦棒グラフを描画して、ラベルを左寄せする	plt.bar(ラベル列, データ列, align='edge')
実数の余弦の逆数	math.acos(x)
折れ線グラフのポイントマーカーを黒くする	plt.plot(データ列x, データ列y, marker='.', markerfacecolor='k')
棒グラフの色をチョコレートにする	plt.bar(データ列x, データ列y, color='chocolate')
イテラブルとイテラブルをペアのリストにする	itertools.zip_longest(iterable, iterable2)
シーグリーン色のヒストグラムを描画する	plt.hist(データ列, color='seagreen')
横棒グラフの縦幅を調整する	plt.barh(ラベル列, データ列, width=0.5)
散布図をペールグリーン色で描画する	plt.scatter(データ列x, データ列y, color='palegreen')
option: マーカーの色をダークターコイズにする	markerfacecolor = 'darkturquoise'
データ列をビン数nでビン分割して、namesのラベルをつける	pd.cut(ds, n, labels=names)
ライトゴールドロディイエロー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightgoldenrodyellow')
横棒グラフの色をコーラルにする	plt.barh(データ列x, データ列y, color='coral')
棒グラフの色をリネンにする	plt.bar(データ列x, データ列y, color='linen')
space	' '
ヒストグラムをシエナ色で描画する	plt.hist(データ列, color='sienna')
横棒グラフの色を淡いピンク色にする	plt.barh(データ列x, データ列y, color='lightpink')
棒グラフの色をアクアにする	plt.bar(データ列x, データ列y, color='aqua')
データシリーズの不偏分散	ds.var(ddof=1)
システム時刻で乱数を初期化する	random.seed()
現在の再帰の最大回数	sys.getrecursionlimit()
日付データが木曜日か調べる	aDate.weekday() == 3
グリッド線を黄色くする	plt.grid(color='y')
横棒グラフをオレンジレッド色で描画する	plt.barh(データ列x, データ列y, color='orangered')
タプルの先頭を取り除く	aTuple[1:]
option: レモンシフォン色を使う	color = 'lemonchiffon'
実数の常用対数	math.log10(x)
正規分布による確率密度関数	scipy.stats.norm.pdf(x, loc=平均値, scale=標準偏差)
ファイルからストリームをオープンして]、fileとする	file = open(filepath)
二つの辞書をチェーンする	collections.ChainMap(aDict, aDict2)
文字列全体が正規表現にマッチするか見る	re.fullmatch(pattern, s)
ヒストグラムの色をフクシアに設定する	plt.hist(データ列, color='fuchsia')
配列のトリム分散を求める	scipy.stats.tvar(配列, limits=(下限, 上限), inclusive=(True, True))
棒グラフの色をミディアムスレートブルーにする	plt.bar(データ列x, データ列y, color='mediumslateblue')
横棒グラフを描画して、ラベルを下寄せする	plt.barh(ラベル列, データ列, align='edge')
茶色色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='brown')
option: ダイアモンドマーカーを描画する	marker = 'D'
ファイルとfilenameを結合する	os.path.join(filepath, filename)
散布図をサンディーブラウン色で描画する	plt.scatter(データ列x, データ列y, color='sandybrown')
配列の全要素を指定の値にする	aArray[:, :] = 指定の値
ホワイトスモーク色の散布図を描画する	plt.scatter(データ列x, データ列y, color='whitesmoke')
暗い赤色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkred')
折れ線グラフの色をミディアムオーキッドに設定する	plt.plot(データ列x, データ列y, color='mediumorchid')
option: グラフの色をダークゴールデンロッドに設定する	color = 'darkgoldenrod'
指定した列のカテゴリで集計し、それぞれの最大値を求める	df.groupby('列A').max()
データフレームの平均と信頼区間を描画する	sns.pairplot(hue='カテゴリ列', data=df)
エラーを出力する	sys.stderr
データシリーズの文字列を欠損値に変換する	ds.replace(値, np.nan)
文字列をシンボルにして、変数にする	z = sympy.Symbol(s)
散布図をナバホホワイト色で描画する	plt.scatter(データ列x, データ列y, color='navajowhite')
折れ線グラフの色を暗い赤に設定する	plt.plot(データ列x, データ列y, color='darkred')
option: グラフの色をタンに設定する	color = 'tan'
全要素を初期値で初期化した配列	np.full(要素数, 初期値, dtype=np.int)
コーパスのバージョン	version = 'wcce2022-0.1'
アリスブルー色のヒストグラムを描画する	plt.hist(データ列, color='aliceblue')
ディムグレー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='dimgrey')
ヒストグラムの色をダークシアンに設定する	plt.hist(データ列, color='darkcyan')
ミスティローズ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='mistyrose')
データフレームをある列によって降順にソートする	df.sort_values(by='列A', ascending=False)
スノー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='snow')
データ列の偏りを対数変換する	np.log(データ列)
実数の双曲線余弦の逆数	math.acosh(x)
棒グラフをアンティークホワイト色で描画する	plt.bar(データ列x, データ列y, color='antiquewhite')
折れ線グラフをハニーデュー色で描画する	plt.plot(データ列x, データ列y, color='honeydew')
ダークサーモン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darksalmon')
データフレームの欠損値をxで埋める	df.fillna(x)
二つのデータ列の残差を散布図として描画する	sns.residplot(x=データ列, y=データ列)
グラフ描画でカーネル密度推定を使う	sns.kdeplot(x='列名', hue='カテゴリ列', data=df)
事前に正規表現をコンパイルする	re.compile(pattern)
ファイル全体を行単位で分割して読み込む	f.readlines()
横棒グラフの色をダークカーキにする	plt.barh(データ列x, データ列y, color='darkkhaki')
コーンズシルク色のヒストグラムを描画する	plt.hist(データ列, color='cornsilk')
散布図をミディアムスプリンググリーン色で描画する	plt.scatter(データ列x, データ列y, color='mediumspringgreen')
option: マーカーの色をアンティークホワイトにする	markerfacecolor = 'antiquewhite'
リストとリストについての散布図に黒いポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.', c='k')
option: グラフの色をスラグレーに設定する	color = 'slategray'
データフレームが正規分布からどの程度、尖っているか見る	df.skew()
グラフの凡例の位置を(x,y)に設定する	plt.legend(loc=(x, y))
両端キュー中の要素のインデックス	deq.index(element)
棒グラフの色をコーンズシルクにする	plt.bar(データ列x, データ列y, color='cornsilk')
データフレームの列の名前をまとめて置換する	df.columns = [str(x).replace(s, s2) for x in df.columns]
option: スラッシュをセパレータで使う	sep = '/'
日付時刻データの日付	aDatetime.date()
カデットブルー色のヒストグラムを描画する	plt.hist(データ列, color='cadetblue')
保存するCSVファイルの小数点以下の桁数を設定する	df.to_csv('file.csv', float_format='%.3f')
リストとリストについての散布図に文字列という凡例用のラベルを付ける	plt.scatter(データ列x, データ列y, label=s)
リストとリストについての散布図に赤いポイントマーカーを描画する	plt.plot(データ列x, データ列y, marker='.', c='r')
データシリーズの尖度	ds.skew()
文字列の開始位置と終了位置の間に部分文字列が含まれるか調べる	s.find(sub, start, end) != -1
折れ線グラフをダークオレンジ色で描画する	plt.plot(データ列x, データ列y, color='darkorange')
データフレームの指定したカラムの歪度	df['列A'].kurt()
全ての印字可能な文字	string.printable
ヒストグラムをオレンジ色で描画する	plt.hist(データ列, color='orange')
ヒストグラムをダークサーモン色で描画する	plt.hist(データ列, color='darksalmon')
横棒グラフをライトイエロー色で描画する	plt.barh(データ列x, データ列y, color='lightyellow')
棒グラフを青色で描画する	plt.bar(データ列x, データ列y, color='blue')
配列の要素数	aArray.size
グリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='green')
横棒グラフの色をシエナにする	plt.barh(データ列x, データ列y, color='sienna')
option: グラフの色をシスルに設定する	color = 'thistle'
散布図のバツマーカーを赤くする	plt.scatter(データ列x, データ列y, marker='x', markerfacecolor='r')
option: グラフの色をミディアムターコイズに設定する	color = 'mediumturquoise'
折れ線グラフを色付きの点線で描画する	plt.plot(データ列x, データ列y, linestyle='dotted', color='#800080')
横棒グラフの色をグレーにする	plt.barh(データ列x, データ列y, color='gray')
集合から別の集合との共通要素を全て取り除く	aSet.symmetric_difference_update(aSet2)
黄色色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='yellow')
ヒストグラムを紺碧色で描画する	plt.hist(データ列, color='azure')
オレンジ色のヒストグラムを描画する	plt.hist(データ列, color='orange')
横棒グラフの色をドジャーブルーにする	plt.barh(データ列x, データ列y, color='dodgerblue')
棒グラフをアクア色で描画する	plt.bar(データ列x, データ列y, color='aqua')
パールゴールデンロッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='palegoldenrod')
nまでの奇整数列	list(range(1, n, 2))
データフレームの中の列をビン数nでビン分割して、namesのラベルをつける	pd.cut(df[col], n, labels=names)
year年month月の日付	datetime.date(year=year, month=month, day=1)
カテゴリで色分けして、カーネル密度分布を描画する	sns.kdeplot(x='列名', hue='カテゴリ列', data=df)
折れ線グラフの色をダークスレートブルーに設定する	plt.plot(データ列x, データ列y, color='darkslateblue')
ヒストグラムをシルバー色で描画する	plt.hist(データ列, color='silver')
データフレームの中の列をビン分割する	pd.cut(df[col], aList)
パープル色の散布図を描画する	plt.scatter(データ列x, データ列y, color='purple')
棒グラフをグレー色で描画する	plt.bar(データ列x, データ列y, color='gray')
データフレームをソートして、インデックスを振り直す	df.sort_values('キーとなる列').reset_index(drop=True)
数式の変数に数式を代入する	e.subs(z, e2)
ヒストグラムの色をスレートブルーに設定する	plt.hist(データ列, color='slateblue')
散布図に青い右三角マーカーを描画する	plt.scatter(データ列x, データ列y, marker='>', markerfacecolor='b')
折れ線グラフの色を白に設定する	plt.plot(データ列x, データ列y, color='white')
ターコイズ色の散布図を描画する	plt.scatter(データ列x, データ列y, color='turquoise')
散布図の色をパープルにする	plt.scatter(データ列x, データ列y, color='purple')
散布図をコーンフラワーブルー色で描画する	plt.scatter(データ列x, データ列y, color='cornflowerblue')
紺色の線グラフを描画する	plt.plot(データ列x, データ列y, color='darkblue')
nのn2乗	n ** n2
データフレームの指定したカラムの欠損値を中央値に設定する	df['列A'].fillna(df['列A'].median())
データフレームの指定したカラムの欠損値を最小値に設定する	df['列A'].fillna(df['列A'].min())
ヒストグラムの色をミディアムアクアマリンに設定する	plt.hist(データ列, color='mediumaquamarine')
折れ線グラフのダイアモンドマーカーを青くする	plt.plot(データ列x, データ列y, marker='D', markerfacecolor='b')
グラフで使うフォントを指定する	sns.set(font=フォント名)
option: マーカーの色をアクアマリンにする	markerfacecolor = 'aquamarine'
数式の変数を数式で置き換える	e.subs(z, e2)
散布図の丸マーカーを青くする	plt.scatter(データ列x, データ列y, marker='o', markerfacecolor='b')
スラグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='slategrey')
整数nの十六進表現	hex(n)
日付データと日付データの時間差	aDate - aDate2
ダークスレートブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkslateblue')
散布図にrgbの四角マーカーを使う	plt.plot(データ列x, データ列y, marker='s', c=rgb)
横軸の最大・最小を変更する	plt.xlim(最小値, 最大値)
オプションで、標準出力に出力する	file = sys.stdout
ある列のカテゴリごとの個数	df.groupby('列A').count()
データフレームの選択したカラムを百の位で丸めて、整数型にする	df[['列A', '列B']].round(-2).astype(int)
折れ線グラフの色をグリーンに設定する	plt.plot(データ列x, データ列y, color='green')
nからn2までのstepごとによるスライス	slice(n, n2, step)
データフレームの選択したカラムの母標準偏差	df[['列A', '列B']].std(ddof=0)
配列の標準偏差	np.std(aArray)
棒グラフをドジャーブルー色で描画する	plt.bar(データ列x, データ列y, color='dodgerblue')
データフレームを表示するとき、ヘッダー行を右寄せに設定する	pd.set_option('colheader_justify', 'right')
散布図の色をマルーンにする	plt.scatter(データ列x, データ列y, color='maroon')
棒グラフをスラグレー色で描画する	plt.bar(データ列x, データ列y, color='slategray')
文字列の長さ	len(s)
整数nの八進文字列	oct(n)[2:]
スノー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='snow')
文字列がn回繰り返すイテラブル	itertools.repeat(element, n)
データフレームを二つの列によってまとめたグループ	df.groupby(['列A', '列B'])
散布図の色をダークオーキッドにする	plt.scatter(データ列x, データ列y, color='darkorchid')
ロイヤルブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='royalblue')
option: グラフの色をミントクリームに設定する	color = 'mintcream'
ヒストグラムを赤色で描画する	plt.hist(データ列, color='red')
最大長nの両端キューをイテラブルから作る	collections.deque(iterable, maxlen=n)
option: シーグリーン色を使う	color = 'seagreen'
折れ線グラフの三角マーカーを赤くする	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='r')
横棒グラフをラベンダー色で描画する	plt.barh(データ列x, データ列y, color='lavender')
棒グラフの色をダークスラテグレーにする	plt.bar(データ列x, データ列y, color='darkslategray')
赤い破線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='r')
散布図の色をライトサーモンにする	plt.scatter(データ列x, データ列y, color='lightsalmon')
xを整数に変換する	int(x)
実数の双曲線正接の逆数	math.atanh(x)
文字列を全て小文字に変換する	s.casefold()
両端キューから部分を取り出す	collections.deque(itertools.islice(deq, start, end))
ベージュ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='beige')
棒グラフの色をペルーにする	plt.bar(データ列x, データ列y, color='peru')
ゴーストホワイト色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='ghostwhite')
オブジェクトはリストかタプルか調べる	isinstance(obj, (list)
折れ線グラフの色をライトコーラルに設定する	plt.plot(データ列x, データ列y, color='lightcoral')
配列のスピアマンの相関係数を求める	scipy.stats.spearmanr(配列, 配列2)
折れ線グラフをスラグレー色で描画する	plt.plot(データ列x, データ列y, color='slategrey')
横棒グラフの色をディムグレーにする	plt.barh(データ列x, データ列y, color='dimgrey')
棒グラフの色を貝殻にする	plt.bar(データ列x, データ列y, color='seashell')
データ列間の平方根平均二乗誤差を求める	np.sqrt(sklearn.metrics.mean_squared_error(データ列, データ列2))
1からnまでの整数列	list(range(1, n+1))
文字を文字コードに変換する	ord(ch)
横棒グラフをドジャーブルー色で描画する	plt.barh(データ列x, データ列y, color='dodgerblue')
カーキ色のヒストグラムを描画する	plt.hist(データ列, color='khaki')
散布図の四角マーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='s', markerfacecolor='#800080')
アイボリー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='ivory')
三つのデータフレームを縦方向に結合する	pd.concat([df, df2, df3], axis=1)
実数を十の位で丸める	round(x, -1)
折れ線グラフの三角マーカーの色を変更する	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='#800080')
リストとリストについての散布図に赤い下三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='v', c='r')
ヒストグラムをグレー色で描画する	plt.hist(データ列, color='gray')
両端キューの先頭にイテラブルの各要素を追加する	deq.extendleft(iterable)
ヒストグラムの色をミディアムブルーに設定する	plt.hist(データ列, color='mediumblue')
JSONファイルのfをデータに変換する	json.load(fin)
aListn番目から要素をポップする	aList.pop(n)
散布図にrgbのダイアモンドマーカーを使う	plt.plot(データ列x, データ列y, marker='D', c=rgb)
ヒストグラムを一点鎖線で描画する	plt.hist(データ列, linestyle='dashbot')
データフレームを表示するとき、表示可能な最大行数を変更する	pd.set_option('display.max_rows', n)
整数nを十六進表現に変換する	hex(n)
カウンタの正の数のみ残す	+aCounter
option: ダークシアン色を使う	color = 'darkcyan'
散布図をミディアムブルー色で描画する	plt.scatter(データ列x, データ列y, color='mediumblue')
折れ線グラフの色をインディアンレッドに設定する	plt.plot(データ列x, データ列y, color='indianred')
オーキッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='orchid')
ドジャーブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='dodgerblue')
nとn2の積	n * n2
全要素を1で初期化した配列	np.ones(要素数, dtype=np.int)
プラム色の線グラフを描画する	plt.plot(データ列x, データ列y, color='plum')
データフレームの中の列を等間隔でn個にビン分割する	pd.cut(df[col], n)
データ列を使う	import pandas as pd
option: グラフの色をミディアムシアグリーンに設定する	color = 'mediumseagreen'
データフレームを関数によってまとめたグループ	df.groupby(関数)
パパイヤウィップ色の散布図を描画する	plt.scatter(データ列x, データ列y, color='papayawhip')
散布図に左三角マーカーを使う	plt.scatter(データ列x, データ列y, marker='<')
スピアマン相関係数でデータフレームの相関行列を求める	df.corr(method='spearman')
option: マーカーの色をクリムゾンにする	markerfacecolor = 'crimson'
横棒グラフをゴールデンロッド色で描画する	plt.barh(データ列x, データ列y, color='goldenrod')
横棒グラフの色をフローラルホワイトにする	plt.barh(データ列x, データ列y, color='floralwhite')
インディゴ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='indigo')
タイタニック号のデータセットからデータフレームを読み込む	df = sns.load_dataset('titanic')
棒グラフを黒くする	plt.bar(データ列x, データ列y, color='k')
nにn2を足して代入する	n += n2
列名の一覧をデータ型でフィルタする	df.select_dtypes(型).columns
'A'列の値がxに等しい行を抽出する	df[df['列A'] == x]
散布図の色をタンにする	plt.scatter(データ列x, データ列y, color='tan')
ヒストグラムをチョコレート色で描画する	plt.hist(データ列, color='chocolate')
option: インデックスを自動的な連番に設定する	index_col = None
整数nの二進文字列	bin(n)[2:]
現在のタイムスタンプ	int(time.time())
データフレームの選択したカラムの欠損値をxに設定する	df[['列A', '列B']].fillna(x)
データシリーズの第一四分位数	ds.quantile(0.25)
折れ線グラフのポイントマーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='.', markersize=2.0)
カテゴリで色分けして、データフレームの全カラムの相関を可視化する	sns.pairplot(df, hue='カテゴリ列')
散布図の下三角マーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='v', markerfacecolor='#800080')
データフレームの先頭100行	df.head(100)
xが1、もしくは2か調べる	x == 1 or x == 2
nがn2以上か調べる	n >= n2
ヒストグラムをライトシアン色で描画する	plt.hist(データ列, color='lightcyan')
nが2で割り切れるか調べる	n % 2 == 0
有理数を使う	import fractions
散布図をライトグリーン色で描画する	plt.scatter(データ列x, データ列y, color='lightgreen')
折れ線グラフの色をサドルブラウンに設定する	plt.plot(データ列x, データ列y, color='saddlebrown')
リストとリストについて散布図を描画して、左三角マーカーの色をrgbに設定する	plt.plot(データ列x, データ列y, marker='<', c=rgb)
散布図の三角マーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='^', markeredgewidth=2.5)
option: NaNを無視する	nan_policy = 'omit'
ネイビー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='navy')
棒グラフの色をディムグレーにする	plt.bar(データ列x, データ列y, color='dimgrey')
オレンジレッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='orangered')
カデットブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='cadetblue')
データフレームを散布図で可視化して、カテゴリ別にマーカーを変える	sns.scatterplot(data=df, x='列名', y='列名', style='カテゴリ列')
option: 大文字・小文字を無視する	flag = re.IGNORECASE
棒グラフをバリーウッド色で描画する	plt.bar(データ列x, データ列y, color='burlywood')
横棒グラフの色を青紫にする	plt.barh(データ列x, データ列y, color='violet')
日付時刻データををn秒後に進める	aDatetime + datetime.timedelta(seconds=n)
折れ線グラフの色をダークオリーブグリーンに設定する	plt.plot(データ列x, データ列y, color='darkolivegreen')
