talk: 返信がめんどくさい	代わりにやってあげる
talk: 先週はあまりやる気が出ず解いた量も少なかったので進んでいる人との差が開いてしまったように感じました。	みんなそんな週もあるのできっとプラマイ0
talk: 天気悪くて洗濯物がたまる	コインランドリーいいよ
talk: 実際にやってみても難しくて鬱になりそうです。	関数のせいで鬱にならないで
talk: お金が少し足りない	お金が浮いたよ！
talk: 吊り革触りたくない	椅子確保！
talk: 炎上した	そうゆう時もある
talk: にわか雨にあった	風邪ひかないようにね
talk: 家計簿の計算合わない	おかしいな
talk: お気に入りの服が汚れちゃった	何とかしてきれいにできないかな…
talk: チケット外れた	きっと次は当たるよ
talk: 買い物で一個買い忘れた	家にあるもので試行錯誤してみよう
talk: 外出禁止になった	ステイホームを楽しもう
talk: 友達が冷たい	それはつらいね
talk: 試験に落ちた	次頑張ればいいよ！
talk: 電車に乗り間違えた	新しい旅の始まり！
talk: 宿題忘れた	たまには休憩も必要だよ
talk: もうだんだん追いつけてません。	自分で無理のない目標を決めるといいかもね！
talk: 映えない	映えてる
talk: ツリー飾るの面倒だな	飾った後の感動は頑張った人にしか味わえないよ
talk: 叩かれた	暴力反対！
talk: 蜂に追いかけられた	考えたくない
talk: どんどん内容が難しくなっていてまた課題の正解数がとても少ないので焦っています。	焦らず正解数を増やしていこう！とりあえず目標を決めてみよう！
talk: お金がたまらない	バイトを増やそう
talk: また期末が来てしまうので今のうちに頑張らなくてはならないな。	終わりは必ずきます
talk: 初めの方は比較的スムーズに解き進めていましたが電源プラグなどで時間を取られてしまいました。	こまめな充電大事
talk: センターが変わっちゃった	次のセンター誰だろうね
talk: 肩こりひどい	大丈夫？ゆっくり休んで
talk: ログインし忘れた	忘れちゃうこともあるよね
talk: 常に眠い	寝な
talk: オンラインだと質問しづらいです。	コギーに質問しなよ！
talk: 問題をやって心折れました。	だんだん慣れていこう！
talk: 人前に立つ仕事がある	頑張って
talk: 優柔不断	決めるの難しいよね
talk: 転んだ	大丈夫？怪我はない？
talk: ひったくりにあった	荷物はそのうち戻ってくるよ
talk: 欲しいものを買えなかった	他の店に買いに行こう！
talk: 鍵しめ忘れた	早めに帰ろう
talk: ご飯が冷たい	１０階にレンジあるよ
talk: アルゴリズムに入ってから問題が難しくなり腰が重たくなってきた。	みんな腰重くなりがち
talk: 少し難しくなってきた。	たぶん気のせいだよ！！
talk: 時間を見つけて楽しく解いてはいますが目標のACの数に届くか心配になってきた。	楽しく解けてるならいいじゃん！
talk: 連絡先きくの忘れた	運命の人だったかもね
talk: まだなんとかなると信じてます...ちょっとした打ち間違えや問題の読み取りミスが多くて参りました。	何とかなります、一日10問くらい？？
talk: 辛すぎる	いけるて
talk: カギ閉めたっけ	家戻る？
talk: テスト大丈夫かな	正直不安を感じている時点で大丈夫
talk: AtCoderを始めてからPythonの理解度が上がった気がします!	それは素晴らしい！目指せ色付きコーダー！
talk: 全くついていけないです。	週に1問でもいいのでとにかく解こう！
talk: 今週はあまりできませんでした。	明日から頑張ろう
talk: ユーザ名が明らかに自分すぎて演習問題の進み具合がバレるかもと思い失敗したなと思いました。	頑張っている感をアピールしてこ
talk: 靴擦れした	カットバン派？絆創膏派？
talk: 赤信号ばっかり！	そんな日もある！
talk: 寝不足だ	眠いよね
talk: 明日起きれるかな	早く寝よう
talk: 1時間くらい格闘しましたが負けました。悔しいです！	明日になったら勝てるかも
talk: テストでケアレスミスをした	しょうがないよ
talk: 電気をつけっぱなしにした	次気をつければいいんだよ
talk: 試験勉強を少ししかしなかった	後悔先に立たず
talk: モヤモヤする	大声で歌ってストレス発散だ！
talk: アウター欲しいけど高くて買えない	お年玉まで待とう
talk: オンラインだと質問しづらい。	コギーに質問しなよ！
talk: しょっちゅう忘れ物する	気を付けよう
talk: でもできないので今は嫌いです。	プログラミング経験があるとないとでは全然違うので、すぐにできなくても良いので練習を続けていこう！
talk: 鳥のフンがかかった	マジ萎えるよねぇ
talk: 好きな人がナルシストだった	それは萎えるね
talk: やりたくない仕事を続けている	頑張っているね
talk: 一問解くのに時間がかかりすぎてすでにお先真っ暗です。	最初はそんなものです、
talk: 彼氏が元カノと仲良い	可愛く拗ねよう！
talk: 一生彼氏ができない	そんな訳ない
talk: 頭痛が痛い	頭痛が痛いってっ！あんた…
talk: 近所の人に見られてる気がする	話してみたいと思われてるのかもしれない
talk: 他にもこんな人がいるのか気になります。	たぶんみんなそんなものです
talk: お金を使い過ぎた	稼げ稼げ
talk: チケットの販売期間終わっていた	これからきちんとチェックして忘れないようにすればOK!
talk: チケット忘れた	係の人に正直に話そう
talk: 初めて高速道路で運転する	安全運転！
talk: ゴキブリに遭遇した	ゴキジェットで頑張って!
talk: 難しくほとんどすすめることができません。	友だちと一緒に進めてみたらどうでしょう？
talk: 思っていたよりも2年の知識を忘れてい。	少し間があくと忘れてしまうよね、演習問題の最初から順にやって段々と思い出していこう！
talk: 個人情報がバレた	やばいな
talk: お金がない	節約力上がるね
talk: ブレイクアウトルームも友人が一人もおらずちきって入れませんでした。	大体飛び込んでみればなんとかなるので大丈夫だよ
talk: 就活しなきゃ	ゆっくりやっていこう
talk: バズった	最高！
talk: 道がわからなくなった	ググって
talk: 足がつった	痛いよね
talk: 大事なものをなくした	探し物は探すのをやめたときにみつかるよ
talk: 最近物騒で電車に乗りたくない	だね、スマホに見入ったり、寝たりしないようにしてい気をつけよう！
talk: 家の鍵をなくした	あれま
talk: 目標は100問ですがこれからもっと難しくなるだろうし目標を達成できるか心配です。	努力を続けることが大切です！
talk: 冷え性だ	暖かい恰好で過ごそう
talk: 進学どうしよう	先輩や先生に相談しよう
talk: 全然進んでない。	就活にも役立つし、やっておいて損はしない！
talk: 卒業ラッシュで悲しい	本人が決めたことを尊重しよう。
talk: 紙で切ってしまった	地味に痛い
talk: 友達に1問助けてもらいました!	友だち優しい、教える側も勉強になるのでどんどんヘルプを求めよう！
talk: SNSをやめたい	私もSNSはやっていない
talk: 完結した	２週目見るか
talk: お気に入りの服汚した	洗濯すれば落ちるかも
talk: もっと成績をよくしたい	もっと勉強しよう
talk: 友達との待ち合わせに遅刻した	すぐ謝ろう!
talk: 推しが炎上した	あー、それはドンマイ
talk: defを使うやり方を去年授業で確認してたはずなのですがあまり理解出来ていなかったらしく進みが遅くなりそうです。	defという単語を覚えているだけでも十分です、色々な問題で使ってあげてね
talk: 今日も寝る時間が遅くなった	毎日努力してて偉いね
talk: フードコートで席があいてない	相席でもいい？
talk: 財布無くした	クレカ止めて！
talk: パンクした	修理修理ー
talk: やる気が起きない	一緒にやろう
talk: 周りの音がうるさい	イヤホンで好きな音楽を聴いてみよう
talk: 今後が心配です。	基本をマスターしておけば大丈夫です！
talk: 友達にひどいことを言ってしまった	素直に謝ってみよう
talk: 好きな人に恋人できた	あの人イマイチだったよ！他にいい人いるよ！
talk: 自転車盗まれた	最悪じゃん
talk: 対応が悪い店員がいた	別のお店に行こう
talk: 白いコーヒーこぼした	ショック！
talk: 今日の内容は途中で詰まってしまったため進みません。	先の問題はもしかしたら解けるかも？
talk: 説明会に出忘れた	人生何とかなるさ！説明会に取り組んでいる君は頑張っている！
talk: 自分の好みが変わった	そうゆう時もあるよね
talk: 目疲れた	一旦、休もっか
talk: 次第に数学的にも難しい内容になってきているので難しいです。	ついでに数学マスターも目指しちゃう？
talk: 人の投稿羨ましい	人は人自分は自分
talk: AtCoderにまだ慣れない。	お付き合いはまだまだ続くので、ぜひ慣れてください
talk: その週ごとに進めていけばいいと思っていましたが友人はかなり進んでいたので不安です。	友達にたくさん頼ってみよう！
talk: 紙で指を切ってしまった	地味に痛い
talk: 落選した	オンラインでみよう！
talk: 教わってようやく1問という感じです。	まずその1問を正しく理解しよう！
talk: お隣さんとうまく話せない	練習していこう
talk: 頑張ろうと思っていたのですが「無理では...」と思えてきた。	気のせい気のせい
talk: 見やすいように名前を入れたのですがどこがダメなのかよくわからないです。	落ち着いて考えてみよう
talk: 難しくほとんど進めることができませんでした。	友だちと一緒に進めてみたらどうでしょう？
talk: お財布忘れた	愉快なサザエさん♪
talk: 関数が苦手なので理解するのが難しい。	演習課題で慣れていこう！
talk: 家に強盗犯が入ってくるかもしれない	宝くじに当たるくらいの確率だから、多分入ってこないと思うよ!
talk: 辛い	お互いがんばろう！
talk: 周りに比べたらまだまだ進捗は遅いかもしれません。	まぁいいじゃん、マイペースで進めていこ
talk: 既読無視された	いそがしいんだよ、きっと
talk: お店閉まってる	そんな時もあるよ
talk: 課題の提出時間に間に合わなかった	次から遅れないようにすれば大丈夫だよ!
talk: 宿題が終わらない	できるところまでやろう
talk: 友達来ない	きっと来るよ!
talk: 友達が増えない	きっとこれからできるよ
talk: あと一つです。	あと少し！頑張って！！
talk: 人の名前を忘れた	仕方ない
talk: 服汚した	洗ってきな
talk: 友達冷たい	それはつらいね
talk: 最近彼氏が冷たい	それはつらいね
talk: 明日起きれるか不安	早く寝よう
talk: 次第に数学的にも難しい内容になってきている。	ついでに数学マスターも目指しちゃう？
talk: AtCoderの方は最近進みが悪くなりました!!難しくなってきました、	難しくなっているから仕方ない！頻度を落とさなければ問題ないです！
talk: 休講で特にやっていないため何も進んでいません。	休講日は遊ぶべき
talk: 毎回割と苦労してます、。	今苦労しておけば、来年は楽になれますよ！
talk: 関数難しいです。	引数と返り値を意識するといいかも！
talk: 面接官が怖かった	どんな感じ？
talk: 単位ください!	コギーにはどうにもできません
talk: 親友に仲の良い友達が出来た	気にしすぎちゃダメ
talk: ドラマ見逃した	見逃し配信をチェック！
talk: 急に雨が降ってきた	雨宿りしよう
talk: スマホの充電が切れた	勉強に集中できるね
talk: 仕事でミスをした	次気をつけよう
talk: 提出出来なかった	それは、ちゃんと確認しよ
talk: 推しが引退した	それは無理
talk: 人の投稿が羨ましい	人は人自分は自分
talk: ワクチン怖い	いや？意外とそんなことないよ
talk: スマホを無くした	えっ？！やばいやん・・・
talk: 取り敢えず悲しい	気分をあげに行こう！
talk: 勉強	今が頑張りどきやで！頑張れば結果がついてくる。
talk: 今日であれば友達は3回目の授業内容から進めるので聞きづらいです。	授業時間外に聞いてみるのも良いかもね
talk: 承認してくれなかった	間違えて削除しちゃったんだよ
talk: 寝なきゃいけないのに寝れない	ホットミルク飲むと良いよー
talk: 他大学の人たちと予定合わない	みんな忙しいから仕方ないよね…
talk: 虫歯ができた	いよいよ歯医者に行く時だ
talk: 予定をドタキャンされた	今度全額奢ってもらおう
talk: 推しがSNSで叩かれた	推しが素敵だから嫉妬してるんだよ
talk: テストの結果が悪かった	そういう時もあるよ!次、頑張ろう!
talk: AtCorderが少し難しい。	だんだんできるようになってくるから大丈夫！
talk: 私は繰り返し文が苦手だったのでfor文やwhile文の違いがよくわかっていませんでした。	いませんでしたってことはわかるようになったってことだね！優秀！
talk: 足踏まれた	なんそいつ
talk: 親が干渉してくる	自分の意見を言った方がいい
talk: 皆さん早く出来ているのかと思うと心配です。	みんなも時間がかかりすぎてしまうって言っているよ！大丈夫！
talk: ゲームのログイン忘れた	それめっちゃ悔しいよね
talk: マイペース	のんきなのは心の余裕があるからよ
talk: 〆切が迫ってる	あと少し、頑張って！
talk: コンサートの抽選に落ちた	そっか…次当たるよきっと！
talk: 何回も不正解が出てしまい心が折れそうになりました	そんな時は一回飛ばしちゃお
talk: 急に難しくなってきて全然理解できなくて落ち込みました。	落ち込まないで！落ち着いて考えてみよう！
talk: 周りとなじめない	何色にも染まらないなんて素敵
talk: 周りの人が進んでいると思うと焦ってしまいます。	たぶん同じくらいの人もたくさんいるよ！焦らずコツコツやりましょう
talk: ボールペンを忘れた	貸すよ
talk: ずっと見てしまう	スクリーンタイム機能を使おう
talk: 関数を使い慣れていないので難しかった。	今まで習った構文とは少し書き方が違うので難しいよね、だんだん慣れていこう！
talk: 欲しかったものがお店に行ったら売り切れていた	きっとそれよりいいものが買えるよ!
talk: 最近自分一人で解ける問題が全然なくて焦っています。	焦る必要はないし、全てが自力である必要もないです！少しずつで大丈夫です
talk: REが何回か出てしまって困りました。	ちょっと休憩してからもう一度確認してみよう！
talk: 将来がみえない	まだいろんな道を選べるよ
talk: バナナですべった	そんなバナナ🍌
talk: お気に入りの服汚れちゃった	何とかしてきれいにできないかな…
talk: 耳痛い	イヤホンのしすぎかも？
talk: 写真写りが悪い	わかる!、ちょっと後ろに立って写ってみたら？
talk: 頭が痛い	パソコンの見過ぎなんじゃない？
talk: カップルの惚気多すぎる	ほほえましいね
talk: 前よりも授業内に進むスピードが遅くなっていると感じます。	じゃあ二倍速くらいにしてもらいますか
talk: 思った以上にプログラミングのことを忘れていて少し苦労しました。	少しやらないとすぐ忘れちゃうよね、わかる。定期的に練習できると良いね！
talk: リモコンない	探そう
talk: 筆箱忘れた	ペン貸そうか？
talk: プログラミングが正直得意な方ではありません。	習得したいというモチベの方が大切です！
talk: 遊びに行けない	お金貯めて収まったら遊びに行こう！
talk: 実験実習費の納入間に合わなかった	締め切り過ぎてても大丈夫だよ
talk: 先週と今週の講義はとても難しくてまだしっかりと理解できません...。	こまめな復習や演習をお忘れなく！
talk: 泣きたい	存分に泣けばいい。
talk: 週に解くスピードもやる気も落ちてきてしまっているのが最近の悩みです。	週に10問解けたら褒めてあげるよ？
talk: REやWAが来るとへこみます。	そんな時はコギーが相手になるよ
talk: わからない問題はどんどん飛ばしていってしまっているので不安です。	少したったらもう一度トライしてみよう！
talk: なかなか答えにたどり着けなくなってきて悔しい。	悔しさをバネにして、ぜひ答えを見つけてください
talk: 彼氏の返信が遅い	いそがしいんだよ、きっと
talk: 断れない	嫌ならはっきり断りな！
talk: アルゴリズムに入ってから授業内容に追いつけていない。	授業外の時間で復習してみよう！
talk: 彼氏に振られた	もっといい人いるよ
talk: メンタルがやられそうです。	プログラミングでメンタルやられないで、相談乗るよ
talk: 遠くの人の足元まで消しゴムが転がった	後で取りに行こう…
talk: 部屋番号を間違えた	あら、ドジっ子ちゃん〜
talk: 砂糖と塩を間違えた	味が気になる…
talk: 物忘れがひどい	たくさんのことをかんがえてるんだね
talk: 宣告された	余命宣告されてない人だっていつ死ぬかわからんから悔いのないように生きよ！
talk: 困った	問題解決は原因を分析することが一番やで！よく考えて次に行動しよう。
talk: 反応が来ない	いつか来るよ
talk: リストが苦手で今週の講義は自分には難しい。	目指せリストマスター
talk: お金少し足りない	お金が浮いたよ！
talk: 犬に噛まれた	お大事に
talk: 誕生日プレゼント買い忘れた	気が付くことが大切
talk: 家の鍵忘れた	よくあるね
talk: 今日はパソコンの調子がおかしく全然進みませんでした。	明日になったら機嫌良くなるかも！
talk: ペットが死んだ	悲しいね、、、
talk: 風邪ひいた	お大事に
talk: ガチャガチャで同じのが3回も出た	メルカリで売れるよ！
talk: 方程式を立てて変形するのに時間がかかってしまいました。	方程式を立てるだけでも優秀すぎます
talk: シフト急遽入った	その分稼げるよ
talk: 集合時間が早すぎ	早起きは三文の徳
talk: フォロワー増えない	徐々にがんばろ
talk: 遊びたい	やることやって遊んだらええ。
talk: ナルシスト	一番冷めるやつやん！
talk: ブレイクアウトルームも友人が一人もおらずちきって入れません。	大体飛び込んでみればなんとかなるので大丈夫だよ
talk: 人前に立つ仕事ある	頑張って
talk: 提出物だし忘れた	提出物忘れ一回？余裕だね！
talk: 親に怒られた	嫌だね
talk: 私服で会場に行ったら皆スーツだった	笑笑
talk: ゴミ箱をひっくり返した	だるいね
talk: 友達が待ち合わせに遅れた	遅れてくるのは良くないよね
talk: めっちゃフォロワー減った	ただみんながインスタ辞めただけじゃない？
talk: 推しが打たれた	そういうときもあるさ
talk: プログラミングがどうこう以前に数学力が試された。	数学力はいる時もあればいらない時もあるよ
talk: 冷蔵庫のプリン食べられた	また買ってこよう
talk: プレゼントをもらった	最高の友達だね
talk: 解ける問題がだんだんなくなってきていて焦っています。	焦る必要はないです！自分で問題を探してみてもいいかもね
talk: パソコンのデータ全部消えた	次からバックアップを取るようにすればOK
talk: アルゴリズムについての内容に入り難しいな、、と感じています。	アルゴリズムの知識をまず勉強していきましょう
talk: c問題が増えてきて難しくなってきた。	C問題の壁は大きいですが、この調子で！
talk: ノンスタ井上	(-_-;)
talk: 先週先々週に引き続き全然進んでなくてより腰が重くなっています。	腰を粉砕してあげよう
talk: 読んでた漫画が終了した	作者の次回作を待ちましょう
talk: 自分のせいで試合に負けてしまったんじゃないか	そんなことないよ
talk: 先生をお母さんって呼んじゃった	小学生みたいだね
talk: テスト忘れてた	何とかなるさ
talk: お店が定休日だった	他のお店探してみよう
talk: 推しの投稿頻度が少ない	今忙しいんだよ！きっと
talk: 人目線	他人を気にして行動する人生でいいんすか？
talk: 振り込み忘れてた	まだ間に合うよ
talk: 内定もらえない	そんじゃ、私と開業しない？（笑）
talk: 仮眠しようとしたら4時間寝てた	次の日頑張れば大丈夫
talk: 遊ぶ予定がなくなった	また今度会えるよ
talk: 電車止まって帰れない	予定狂うね
talk: 今日雨降るかなあ？	一応傘持ってた方がいいんじゃない？
talk: 大勢の人の前で転んだ	大丈夫！？記憶は薄れるだろうし気にしない気にしない！
talk: 相手の名前を忘れてしまった	よくあるよね
talk: 今日の関数はとても難しい。	難しいと感じている人はあなただけじゃないよ
talk: 一人では全く進められなくなってきて焦っています。	焦らなくても大丈夫、少しずつ進めていこう！
talk: 思ったことを気軽につぶやけないときがある	その方がいいよ！口は災い元だから！
talk: 予定すっぽかした	後で謝ろう
talk: 浮気された	し返せ
talk: 授業ノートをなくして勉強ができない	私のでよければ貸すからそんなに落ち込まないで!
talk: 推しのキャラクターグッズをたくさん買ってしまう	わかる！
talk: 画面を見すぎて目疲れた	一旦、休もっか
talk: お風呂入りたくない	うちも入ってない、朝までに入ればオッケー
talk: 倉光先生は優しいので出席していれば\単位は取れるだろう	コギーもそうだと思う
