折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
データフレームの列と列に重複があれば、削除する	df.drop_duplicates(subset=column)
追加できるようにファイルをオープンする]	open(filepath, mode='a')
カラムの名前の一覧を見る	df.columns
データフレームのヒートマップを描画する	sns.heatmap(df.corr())
淡い色の折れ線グラフを描画し、、その線幅をnに変更する	plt.plot(xdata, ydata, linewidth=n, color='muted')
プラットホームの名前	sys.platform
オブジェクトは数値か	isinstance(obj, (int,float))
度数分布図のビンを設定する	plt.hist(データ列, bins=n)
year年month月を日付に変換する	datetime.date(year=year, month=month, day=1)
データフレームを列の値によってグループ化し、、列挙する	[(name, group) for name, group in df.groupby(column)]
データフレームのカラムをドロップして、入れ替える	df.drop(column, axis=1, inplace=True)
ハイパボリック・サインの逆数を求める	math.asinh(x)
リストを横軸と指定して、折れ線を描く	plt.plot(range(len(xdata)), xdata)
ヒストグラムの色をローングリーンに指定する	plt.hist(データ列, color='lawngreen')
折れ線グラフの色を暗い赤に設定する	plt.plot(データ列, データ列2, color='darkred')
黄色いバツ印を折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='y')
折れ線グラフに青い▽印を描画する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='b')
データフレームの列がx以上かつx2未満の行を取り出す	df[(x <= df[column]) & (df[column] < x2)]
昇順にデータフレームを列を用いてソートして、更新する	df.sort_values(by=column, ascending=True, inplace=True)
ヒストグラムを描画して、その色をコーンフラワーブルーにする	plt.hist(データ列, color='cornflowerblue')
折れ線グラフの色をダークシアンに変更する	plt.plot(データ列, データ列2, color='darkcyan')
折れ線グラフを描画して、その色をティールに指定する	plt.plot(データ列, データ列2, color='teal')
＜オプション＞UTF8を使用する	encoding = 'utf-8'
実数の逆余弦を計算する	math.acos(x)
ファイルパスをBOM付きを使って開く]	open(filepath, encoding='utf_8_sig')
プログラムの実行を異常止める	sys.exit(1)
箱ひげ図を二つ並べる	plt.boxplot([データ列, データ列2])
リストとリストを接続する	aList + aList2
グラフを画面用に指定する	sns.set(context='notebook')
アクア色のヒストグラムを描画する	plt.hist(データ列, color='aqua')
折れ線グラフの色をライトブルーに設定する	plt.plot(データ列, データ列2, color='lightblue')
既存のファイルを追加できるようにUTF8でオープンする]	open(filepath, mode='a', encoding='utf-8')
文字列の右側から余分な改行を除去する	s.rstrip()
カーキにヒストグラムの色を設定する	plt.hist(データ列, color='khaki')
二つのデータフレームを横方向に連結する	pd.concat([df, df2], axis=1)
ヒストグラムの色をライトグリーンに変更する	plt.hist(データ列, color='lightgreen')
データ列をインポートする	import pandas as pd
SJISで書き込み用にファイルをオープンする]	open(filepath, mode='w', encoding='shift_jis')
ヒストグラムを描画して、その色をオレンジレッドに設定する	plt.hist(データ列, color='orangered')
ファイルをオープンして]バイナリストリームを使う	open(filepath, mode='rb')
文字列が無限に続くイテラブル	itertools.repeat(element)
ファイルをフォルダ名とファイル名に分割する	os.path.split(filepath)
折れ線グラフを描画して、その色をフローラルホワイトに設定する	plt.plot(データ列, データ列2, color='floralwhite')
データ列を分割数nでビン分割し、、namesのラベルをつける	pd.cut(ds, n, labels=names)
リストとリストについて明るい色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='bright')
ダークターコイズ色のヒストグラムを描画する	plt.hist(データ列, color='darkturquoise')
＜オプション＞エンコーディングをUTF8に設定する	encoding = 'utf-8'
正規表現に文字列の先頭でASCII限定としてマッチさせる	re.match(pattern, s, flags=re.ASCI)
データ列とラベルを指定して、縦棒グラフを描画する	plt.bar(ラベル列, データ列)
TSV形式のファイルからデータフレームを読み込む	pd.read_csv(filename, sep='\t', encoding='shift_jis')
日付データが水曜日かどうか調べる	aDate.weekday() == 2
横棒グラフをプロットして、中央寄せする	plt.barh(ラベル列, データ列, align='center')
イテラブルを文字列リストに変換して、部分文字列によって結合する	sub.join(map(str, iterable))
文字列中に日本語が含まれるか調べる	re.search('[あ-んア-ン\u4E00-\u9FD0]', s)
オブジェクトはバイト列クラスか調べる	isinstance(obj, bytes)
ふたつの関係が真上位集合かテストする	aSet > aSet2
イテラブルとリストで淡いの折れ線グラフをプロットし、その線幅をnに指定する	plt.plot(xdata, ydata, linestyle='muted', color=rgb)
符号なし８ビット整数型のゼロ埋めされたベクトルを作成する	np.zeros(要素数, dtype=np.uint8)
＜オプション＞ミディアムバイオレットレッド色を使う	color = 'mediumvioletred'
データフレームのカラムを百の位で丸めて、整数にする	df[col].round(-2).astype(int)
リストと数列についての散布図に黒いポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.', c='k')
折れ線グラフに黄色いポイント印を描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='y')
ヒストグラムを描画して、その色をモカシンに設定する	plt.hist(データ列, color='moccasin')
スピアマンとしてデータフレームの列と列の相関行列を計算する	df[[column, column2]].corr(method='spearman')
ヒストグラムを描画して、その色をコーンフラワーブルーに設定する	plt.hist(データ列, color='cornflowerblue')
データフレームのカラムの中に文字列がある	df[col].isin([value])
折れ線グラフに線幅nの四角マーカーを描画する	plt.plot(データ列, データ列2, marker='s', markeredgewidth=n)
データフレームのリストカラムの空文字を欠損値に変換し、ドロップする	df[aList].replace('', np.nan).dropna()
データ列の時を見る	ds.dt.hour
折れ線グラフを描画して、その色をライトグリーンに設定する	plt.plot(データ列, データ列2, color='lightseagreen')
TSVファイルをSJISで読み込む	pd.read_csv(filename, encoding='shift_jis')
ヒストグラムを二つ並べて描画する	plt.hist([データ列, データ列2], color=['b', 'r'])
データフレームをインデックスを用いて昇順にソートする	df.sort_index(ascending=True)
データフレームのメディアン	df.median()
＜オプション＞色をピーチパフに設定する	color = 'peachpuff'
折れ線グラフを点線で描画する	plt.plot(データ列, データ列2, linestyle='dotted')
明るいグラフの色を赤にする	plt.plot(xdata, ydata, linestyle='bright', color='r')
色差別ないグラフの色をカラーコードに変更する	plt.plot(xdata, ydata, linestyle='colorblind', color=rgb)
JSONLファイルにSJISでデータフレームを保存する	df.to_csv(filename, encoding='shift_jis')
ヒストグラムの色をマゼンタに設定する	plt.hist(データ列, color='magenta')
２つの辞書を階層化する	collections.ChainMap(aDict, aDict2)
カラーコードに横棒グラフの色を変更する	plt.barh(ラベル列, データ列, color=rgb)
＜オプション＞色をシーグリーンにセットする	color = 'seagreen'
オブジェクトのフィールドの値を値に指定する	setattr(obj, プロパティ名, 値)
nが3の倍数か調べる	n % 3 == 0
ヒストグラムの色をミディアムターコイズに設定する	plt.hist(データ列, color='mediumturquoise')
データフレームのカラムの未入力値を最大値で埋める	df[col].fillna(df[col].max())
集合を変更不能に変換する	frozenset(aSet)
JSON形式のバイト列を辞書にする	json.loads(b.decode('unicode-escape'))
列によって降順に破壊的にデータフレームをソートする	df.sort_values(by=column, ascending=False, inplace=True)
文字列リストに列を変換して、'改行で一つにする	'\n'.join(map(str, iterable))
nがn2以下か調べる	n <= n2
リストとリストの色差別ないグラフを描いて、その色を青にする	plt.plot(xdata, ydata, linestyle='colorblind', color='b')
リストをヒストグラムにする	plt.hist(aList)
nが偶数か調べる	n % 2 == 0
＜オプション＞暗い赤を使う	color = 'darkred'
折れ線グラフに大バツ印を加える	plt.plot(データ列, データ列2, marker='X')
ヒストグラムを描画してその色をスノーに設定する	plt.hist(データ列, color='snow')
集合をリストに変換する	list(aSet)
タプルの平均値	sum(aTuple)/len(aTuple)
リストとリストの折れ線を描画して、色を文字列に設定する	plt.plot(xdata, ydata, color=s)
グラフの用途を論文に指定する	sns.set(context='paper')
折れ線グラフを描画して、その色をコーラルにセットする	plt.plot(データ列, データ列2, color='coral')
パープル色の線グラフを描画する	plt.plot(データ列, データ列2, color='purple')
棒グラフの色を指定する	plt.bar(ラベル列, データ列, color=rgb)
二つのオブジェクトが同じ参照か確認する	obj is obj2
＜オプション＞グラフの色をラベンダーブラッシュに設定する	color = 'lavenderblush'
アクアマリンにヒストグラムの色を指定する	plt.hist(データ列, color='aquamarine')
データ列を10の位で丸める	ds.round(-1)
リストと数列の折れ線グラフを描画し、、その色をカラーコードに変更する	plt.plot(xdata, ydata, color=rgb)
データ列を度数分布図にする	plt.hist(ds)
線グラフの色をピーチパフに設定する	plt.plot(データ列, データ列2, color='peachpuff')
データフレームから重複した行を削除する	df.drop_duplicates()
線グラフの色を淡い茶色にセットする	plt.plot(データ列, データ列2, color='tan')
最後の部分文字列で文字列を分けたときの先頭の文字列	s.rpartition(sub)[0]
nが一桁の数か確認する	0 <= n <= 9
カンマで文字列を区切って列挙する	s.split(',')
散布図に黒色の左三角マーカーを使う	plt.plot(xdata, ydata, marker='<', c='k')
n個の集まりからk個重複なく選ぶ方法	math.comb(n, k)
エクセルファイルファイルからnという名前のシートをデータフレームとして読み込む	pd.read_excel(filename, sheet_name=n)
空のカウンタを用意する	collections.Counter()
データフレームを２つの列の値でまとめたグループ	df.groupby(['A', 'B'])
線グラフを描画して、その色をゲインズボロに設定する	plt.plot(データ列, データ列2, color='gainsboro')
ドジャーブルーにヒストグラムの色を設定する	plt.hist(データ列, color='dodgerblue')
表を見る	df.head()
整数nを二進表記に変換する	bin(n)
データ列をリストを境界値としてビン分割する	pd.cut(ds, aList)
リストの全ての要素を取り除く	aList.clear()
ファイルから書き込みストリームをオープンして]fとする	f = open(filepath, mode='w')
菱形マーカーを散布図に使う	plt.plot(xdata, ydata, marker='D')
折れ線グラフの色をミディアムスプリンググリーンにセットする	plt.plot(データ列, データ列2, color='mediumspringgreen')
データフレームの中にある文字列と日付データの数を数える	df.isin([value, value2]).sum()
データフレームを破壊的に'A'列によってでソートする	df.sort_values(by='A', inplace=True)
＜オプション＞ゴールド色を使用する	color = 'gold'
パラメータが0に近づくときの数値の極限値を算出する	sympy.limit(e, z, 0)
折れ線グラフを描画して、その色をベージュに設定する	plt.plot(データ列, データ列2, color='beige')
折れ線グラフの色を耐火レンガに設定する	plt.plot(データ列, データ列2, color='firebrick')
ヒストグラムを描画して、色をパパイヤウィップに設定する	plt.hist(データ列, color='papayawhip')
度数分布図の描画して、正規化する	plt.hist(データ列, density=True)
データフレームとしてCSVファイルを読み込む	pd.read_csv(filename, sep=',')
リストとリストの散布図に赤色の四角マーカーを描画する	plt.plot(xdata, ydata, marker='s', c='r')
データフレームのカラムを10の位で丸めて、整数型にする	df[col].round(-1).astype(int)
折れ線グラフに緑色のクロスマーカーを描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='g')
リストと配列についての散布図にダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D')
リストの要素を昇順にソートする	sorted(aList, reverse=False)
浮動小数点数を数で割った余り	x % y
行列の行ごとの分散	np.var(aArray, axis=1)
折れ線グラフを描画して、その色をスチールブルーに指定する	plt.plot(データ列, データ列2, color='steelblue')
リストと配列についての散布図に▲マーカーを描画する	plt.plot(xdata, ydata, marker='^')
データフレームの列がx、かつ列がx2である行を抽出する	df[(df[column] == x) & (df[column2] == x2)]
データフレームを複数の列の値によってグループ化する	df.groupby(columns)
文字列を太文字でプリントできる文字列に変換する	f'\033[1m{value}\033[0m'
配列についてのヒストグラムを暗い色として描く	plt.hist(xdata, color='dark')
リストとリストの折れ線グラフを描画して、透明度をalphaに変更する	plt.plot(xdata, ydata, alpha=alpha)
列を出現回数してカウンタを更新する	aCounter.update(iterable)
配列間の要素ごとの最大公約数を求める	np.gcd(aArray, aArray2)
赤色のバツマーカーとして散布図を描画する	plt.plot(xdata, ydata, marker='x', c='r')
データフレームのインデックスがnの行を抽出する	df.loc[n]
リストとリストについて散布図を描き、マーカーを左三角に設定する	plt.plot(xdata, ydata, marker='<')
色差別ない色として散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='colorblind', alpha=0.5)
＜オプション＞スプリンググリーン色を用いる	color = 'springgreen'
グラフにx=0の点線を設定する	plt.axvline(x=0, linestyle='dotted')
ヒストグラムを描画して、その色を淡い茶色にセットする	plt.hist(データ列, color='tan')
プロットをプレゼン用に設定する	sns.set(context='talk')
耐火レンガ色のヒストグラムを描画する	plt.hist(データ列, color='firebrick')
ヒストグラムの色をコーンズシルクに設定する	plt.hist(データ列, color='cornsilk')
ミディアムバイオレットレッド色のヒストグラムを描画する	plt.hist(データ列, color='mediumvioletred')
文字列を走査し、正規表現にマッチするか見る	re.search(pattern, s)
データフレームを列ごとにグループ化して、個数を計算する	df.groupby(column).count()
文字列を空白を用いて分割する	s.split()
データフレームからn行、サンプリングする	df.sample(n)
ファイルを書き込みできるようにオープンする]	open(filepath, mode='w')
データフレームのカラムの欠損値を最小値に設定する	df[col].fillna(df[col].min())
データフレームのカラムの中に文字列と文字列がいくつあるかカウントする	df[col].isin([value, value2]).sum()
列から集合	set(iterable)
ふたつの集合が共通の要素を持たないかテストする	aSet.isdisjoint(aSet2)
ふたつのリストの共通りスト	list(set(aList) & set(aList2))
nの三乗	n ** 3
ファイルパスを追加モードとして開く]	open(filepath, mode='a')
文字列リストを連結する	''.join(aStringList)
黒い菱形マーカーとして散布図を描く	plt.plot(xdata, ydata, marker='D', c='k')
＜オプション＞文字コードtextを使用する	encoding = text
データフレームのカラムの中にある日付データの合計を数える	df[col].isin([value]).sum()
＜オプション＞色を赤に設定する	color = 'red'
データ列を100の位で四捨五入して、整数型にする	ds.round(-2).astype(int)
データフレームの列が正規表現文字列にマッチする行を抽出する	df[df[column].str.match(s)]
パステル調の色のヒストグラムとして配列を描画する	plt.hist(xdata, color='pastel')
集合にイテラブルを追加更新する	aSet.update(iterable)
文字列を白色でプリントできる文字列に変換する	f'\033[37m{value}\033[0m'
nの桁数	len(str(n))
ヒストグラムの色をコーンフラワーブルーに変更する	plt.hist(データ列, color='cornflowerblue')
最大長nの両端キューをリストから用意する	collections.deque(iterable, maxlen=n)
配列のデータ型	aArray.dtype()
表データを小さい順に列によってソートし、、更新する	df.sort_values(by=column, ascending=True, inplace=True)
折れ線グラフを描画して、その色をレモンシフォンに設定する	plt.plot(データ列, データ列2, color='lemonchiffon')
明るい色で散布図を描く	plt.plot(xdata, ydata, c='bright')
ヒストグラムの色を黄色に設定する	plt.hist(データ列, color='yellow')
タプルをnから番号付けする	enumerate(aTuple, start=n)
ヒストグラムを描画して、その色をアリスブルーに変更する	plt.hist(データ列, color='aliceblue')
タイムスタンプデータからn秒分、減算する	aDatetime - datetime.timedelta(seconds=n)
本日が火曜日	datetime.datetime.today().weekday() == 1
色を全般的にパステル調にする	sns.set(pallete='pastel')
行列の逆行列	np.linalg.inv(aArray)
ファイルパスの拡張子付きのファイル名を見る	os.path.basename(filepath)
グラフの凡例の位置を指定する	plt.legend(loc=(x, y))
replにデータフレームの値をまとめて正規表現patternで置換する	df.replace(pattern, repl, regex=True)
数を小数点以下で丸める	round(x, n)
データフレームの列と列の相関行列	df[[column, column2]].corr()
散布図をバツマーカーを用いて描画する	plt.plot(xdata, ydata, marker='x')
文字列をユニコードエスケープでバイト列にする	s.encode(encoding='unicode_escape')
グラフの色をpalleteNameに設定する	sns.set(pallete=palleteName)
サドルブラウン色の線グラフを描画する	plt.plot(データ列, データ列2, color='saddlebrown')
＜オプション＞ホットピンク色を用いる	color = 'hotpink'
＜オプション＞ベージュ色を使用する	color = 'beige'
配列とリストの折れ線グラフを文字列の色で描画する	plt.plot(xdata, ydata, color=s)
折れ線グラフの色をパールバイオレットレッドにセットする	plt.plot(データ列, データ列2, color='palevioletred')
等間隔でn個にリストを分割して、namesのラベルをつける	pd.cut(aList, n, labels=names)
＜オプション＞レベッカパープルを用いる	color = 'rebeccapurple'
カウンタをタプルを使って更新する	aCounter.update(aDict)
イテラブルとリストについての散布図に赤い丸マーカーをプロットする	plt.plot(xdata, ydata, marker='o', c='r')
列の値によってデータフレームをグループ化し、要約統計量を算出する	df.groupby(column).describe()
ヒストグラムを描画して、色をスノーに設定する	plt.hist(データ列, color='snow')
Pandasで、データフレームのカラムを日付データに変換し、インデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(df[col]))
データフレームのカラムの値を正規表現patternでまとめてreplに置き換える	df[col].replace(pattern, repl, regex=True)
グラフにy=0の破線を設定する	plt.axhline(y=0, linestyle='dashed')
リストをナンバリングする	enumerate(aList)
データ列の空文字をドロップする	ds.replace('', np.nan).dropna()
＜オプション＞ダークグリーンにグラフの色を変更する	color = 'darkgreen'
データフレームの列が文字列で終わる行を抽出する	df[df[column].str.endswith(s)]
文字列がn回続くイテラブル	itertools.repeat(element, n)
赤いバツマーカーを配列と配列についての散布図にプロットする	plt.plot(xdata, ydata, marker='x', c='r')
グラフを描画する準備をする	from sympy import N
＜オプション＞バッファリングのサイズを変更する	buffering = 4096
データ列を千の位で丸める	ds.round(-3)
リストを色差別ない色のヒストグラムで描画する	plt.hist(xdata, color='colorblind')
リストとリストについて散布図を描いて、大バツマーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='X', c=rgb)
整数nを十六進数表現に変換する	hex(n)
リストとイテラブルについての散布図に黒い右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', c='k')
整数nの16進リテラル	hex(n)
パステル調のグラフの線幅をnに設定する	plt.plot(xdata, ydata, linestyle='pastel', linewidth=n)
データフレームを'A'列によってで降順にソートする	df.sort_values(by='A', ascending=False)
折れ線グラフを描画して、その色を黄緑に設定する	plt.plot(データ列, データ列2, color='chartreuse')
２つの文字列が同じでないか	s != s2
startからendの範囲のヒストグラムを用いてリストを描画する	plt.hist(データ列, range=(start, end))
n×n2の二次元リスト	[[0] * n for _ in range(n2)]
＜オプション＞グラフの色をスレートブルーにセットする	color = 'slateblue'
データフレームのリストで指定された列の各列間の相関係数	df[aList].corr()
ローングリーン色のヒストグラムを描画する	plt.hist(データ列, color='lawngreen')
文字列のn番目を求める	s[n]
正弦	math.sin(x)
列の歪度を求める	ds.kurt()
インデント幅nで、辞書をJSON形式の文字列に変換する	json.dumps(aDict, ensure_ascii=False, indent=n)
データフレームのリストカラムの中にいくつ欠損値が存在するか数える	df[aList].isna().sum()
折れ線グラフを描画してその色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgray')
列'A'と列'B'をキーにして二つのデータフレームを結合する	pd.merge(df, df2, left_on='A', right_on='B')
リストと配列についての散布図に赤色のダイアモンドマーカーを描く	plt.plot(xdata, ydata, marker='D', c='r')
折れ線グラフを描画して、その色をインディアンレッドに変更する	plt.plot(データ列, データ列2, color='indianred')
折れ線グラフに黒い星マーカーを描画する	plt.plot(データ列, データ列2, marker='*', markerfacecolor='k')
データ列とリストについて散布図を描画して色を暗いに指定する	plt.plot(xdata, ydata, c='dark')
データフレームを'A'列と'B'列によって並べる	df.sort_values(by=['A', 'B'])
データフレームのリストカラムの正規分布に対する上下広がり	df[aList].skew()
変数がマイナス無限大に近づくときの数式の極限値を求める	sympy.limit(e, z, -oo)
現在のタイムスタンプ	int(time.time())
＜オプション＞読み込むシート名をnamesに設定する	sheet_name = names
黒色の色差別ないグラフを描く	plt.plot(xdata, ydata, linestyle='colorblind', color='k')
要素はセットに含まれる	element in aSet
書き込み用にBOM付きでファイルを開く]	open(filepath, mode='w', encoding='utf_8_sig')
ベクトルの内積	np.dot(aArray, aArray2)
折れ線グラフを描画してその色をアイボリーに設定する	plt.plot(データ列, データ列2, color='ivory')
文字列中に部分文字列が含まれないかどうか調べる	sub not in s
＜オプション＞シーグリーン色を用いる	color = 'seagreen'
折れ線グラフに青い四角マーカーを描画する	plt.plot(データ列, データ列2, marker='s', markerfacecolor='b')
Pythonインタプリタの実行ファイルの絶対パス	sys.executable
線グラフの色をホットピンクに設定する	plt.plot(データ列, データ列2, color='hotpink')
０で全要素を初期化された整数型の行列を作成する	np.zeros(行数, 列数, dtype=np.int)
データフレームのリストカラムの欠損値を最小値で置換する	df[aList].fillna(df[aList].min())
列を出現回数してカウンタから引く	aCounter.subtract(iterable)
year年day月を日付時刻にする	datetime.datetime(year=year, month=month, day=1)
n個にデータ列をビン分割し、、namesのラベルをつける	pd.cut(ds, n, labels=names)
ファイルからストリームを読み込みfileとする	file = open(filepath)
データフレームから列名を複数指定して選択する	df[columns]
方程式として数式の変数の解を算出する	sympy.solve(e, z)
Pandasで、データフレームのカラムをインデックスにする	df.set_index(col, inplace=True)
配列とリストの暗いグラフを描いて、色を黒にする	plt.plot(xdata, ydata, linestyle='dark', color='k')
線グラフを描画して、その色をパールバイオレットレッドにセットする	plt.plot(データ列, データ列2, color='palevioletred')
ヒストグラムを描画してその色をオーキッドにセットする	plt.hist(データ列, color='orchid')
二つの文字列をケースを無視して比較する	s.casefold() < s2.casefold()
折れ線グラフを描画して、色をパウダーブルーに設定する	plt.plot(データ列, データ列2, color='powderblue')
折れ線グラフを描画して色をパープルに設定する	plt.plot(データ列, データ列2, color='purple')
折れ線グラフを描画して、その色をスノーに設定する	plt.plot(データ列, データ列2, color='snow')
＜オプション＞グラフの色をシスルに変更する	color = 'thistle'
日付データが日付データより先かどうか調べる	aDate < aDate2
マッピングをJSONフォーマットで出力ストリームに保存する	json.dump(aDict, fout, ensure_ascii=False)
＜オプション＞ゴーストホワイトにグラフの色を設定する	color = 'ghostwhite'
折れ線グラフの色をブルーバイオレットに設定する	plt.plot(データ列, データ列2, color='blueviolet')
範囲を指定して整数乱数を求める	random.randint(最小値, 最大値)
ヒストグラムの色をスラグレーにする	plt.hist(データ列, color='slategrey')
スピアマンとしてデータフレームのリストカラムの相関行列	df[aList].corr(method='spearman')
赤い上三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='^', c='r')
ピアソン相関係数でデータフレームの列と列の相関行列	df[[column, column2]].corr(method='pearson')
nまでの偶整数列	list(range(2, n, 2))
データフレームの行を振り直す	df.reset_index()
＜オプション＞エンコーディングを文字コードtextに設定する	encoding = text
＜オプション＞プラムを用いる	color = 'plum'
濃いグラフの色を黒くする	plt.plot(xdata, ydata, linestyle='deep', color='k')
データフレームを各列毎にグループ化して文字列というグループの大きさを求める	df.groupby(column).size()[s]
疑似乱数	random.random()
二つの列でを用いて表データを破壊的にソートする	df.sort_values(by=['A', 'B'], inplace=True)
リストを柱状グラフで可視化する	plt.hist(aList)
データフレームの欠損値を平均値に設定する	df.fillna(df.mean())
ヒストグラムを描画して、色をコーンフラワーブルーに設定する	plt.hist(データ列, color='cornflowerblue')
数列とデータ列について散布図を描いて大バツマーカーの色をカラーコードにセットする	plt.plot(xdata, ydata, marker='X', c=rgb)
リストと配列の折れ線グラフをプロットして、untitledとラベル付けする	plt.plot(xdata, ydata, label=untitled)
本日が土曜日か確認する	datetime.datetime.today().weekday() == 5
折れ線グラフのマーカーをクロスにする	plt.plot(データ列, データ列2, marker='x')
ヒストグラムの色をライトシアンに指定する	plt.hist(データ列, color='lightcyan')
データ列とリストの青色のパステル調のを描画する	plt.plot(xdata, ydata, linestyle='pastel', color='b')
nわるn2	n / n2
＜オプション＞グラフの種類を一点鎖線に設定する	linestyle = 'dashbot'
折れ線グラフに黄色いダイアモンド印を描画する	plt.plot(データ列, データ列2, marker='D', markerfacecolor='y')
＜オプション＞線種を点線にセットする	linestyle = 'dotted'
xを浮動小数点数に変換する	float(x)
データフレームのそれぞれのグループごとの合計	df.groupby(column).sum()
淡い色でリストについてのヒストグラムを描画する	plt.hist(xdata, color='muted')
赤い菱形マーカーで散布図を描く	plt.plot(xdata, ydata, marker='D', c='r')
全要素を０で初期化された三二ビット整数型の行列	np.zeros(行数, 列数, dtype=np.int16)
＜オプション＞ディムグレー色を使う	color = 'dimgrey'
ヒストグラムを描画して、色をダークバイオレットに指定する	plt.hist(データ列, color='darkviolet')
データフレームのそれぞれのグループ毎の平均値	df.groupby(column).mean()
0で全要素を初期化されたベクトル	np.zeros(要素数)
データフレームを2つの列を用いて小さい順に並べる	df.sort_values(by=['A', 'B'], ascending=True)
タプルの先頭を除く	aTuple[1:]
データフレームの未入力値を直後の値で埋める	df.fillna(method='bfill')
タン色のヒストグラムを描画する	plt.hist(データ列, color='tan')
カラーバーを水平に描画する	plt.colorbar(orientation='horizontal')
＜オプション＞EUCを使う	encoding = 'euc_jp'
n2がnより大きく、かつ、n3未満か調べる	n < n2 and n2 < n3
折れ線グラフの大バツ印のサイズをnに設定する	plt.plot(データ列, データ列2, marker='X', markersize=n)
ヒストグラムを描画して、色をチョコレートに変更する	plt.hist(データ列, color='chocolate')
折れ線グラフの色を黄色に設定する	plt.plot(データ列, データ列2, color='yellow')
両端キューの先頭に列の要素を追加する	deq.extendleft(iterable)
配列とリストについての散布図にポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.')
タイムスタンプデータがタイムスタンプデータよりあとかどうか調べる	aDatetime > aDatetime2
タプルをコピーする	aDict.copy()
＜オプション＞グラフの色をアリスブルーに設定する	color = 'aliceblue'
折れ線グラフのダイアモンドマーカーを黄色くする	plt.plot(データ列, データ列2, marker='D', markerfacecolor='y')
全要素を初期値で初期化されたベクトルを作る	np.full(要素数, 初期値, dtype=np.int)
ケンドール相関係数でデータフレームの列と列の相関行列	df[[column, column2]].corr(method='kendall')
データ列のNaNを最小値に設定する	ds.fillna(ds.min())
暗いを描画し、線幅をnに設定する	plt.plot(xdata, ydata, linestyle='dark', color='r')
配列と配列の青い暗いグラフをプロットする	plt.plot(xdata, ydata, linestyle='dark', color='b')
ベストな位置に凡例を入れる	plt.legend(loc='best')
ヒストグラムの色をシアンに設定する	plt.hist(データ列, color='cyan')
配列を等しい量になるようにビン数nを使ってビン分割する	pd.qcut(aArray, n)
文字列の末尾を使う	s[-1]
＜オプション＞紺を用いる	color = 'darkblue'
データフレームを複数の列で並べ直す	df.sort_values(by=column)
昨日の日付	datetime.date.today() - datetime.timedelta(days=1)
デピンクにヒストグラムの色を設定する	plt.hist(データ列, color='deeppink')
＜オプション＞ディムグレー色を用いる	color = 'dimgrey'
データ列を折れ線グラフに描画して、マーカーをバツ印にする	plt.plot(データ列, データ列2, marker='x')
データフレームのNaNが存在する行を削除する	df.dropna()
既存のファイルをUTF8で追加できるようにオープンする]	open(filepath, mode='a', encoding='utf-8')
データ列を折れ線グラフに描画して、マーカーを左三角印にする	plt.plot(データ列, データ列2, marker='<')
折れ線グラフの色を茶色に変更する	plt.plot(データ列, データ列2, color='brown')
折れ線グラフの色をダークオレンジに設定する	plt.plot(データ列, データ列2, color='darkorange')
型は名前付きタプルか	issubclass(C, tuple)
線グラフを描画して、その色をライトゴールドロディイエローに変更する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
文字列の開始位置と終了位置の間に部分文字列がある	s.find(sub, start, end) != -1
year年month月day日hour時minute分の日付時刻	datetime.datetime(year=year, month=month, day=day, hour=hour, minute=minute)
データフレームのリストカラムは正規分布からどの程度、歪んでいるか見る	df[aList].kurt()
＜オプション＞レベッカパープルに色を設定する	color = 'rebeccapurple'
データフレームのリストカラムの標本標準偏差	df[aList].std()
データフレームが重複しているか	df.duplicated()
文字のユニコード	ord(ch)
＜オプション＞丸マーカーを使う	marker = 'o'
折れ線グラフのラベルをuntitledに指定する	plt.plot(xdata, ydata, label=untitled)
nがn2よりも大きいか	n > n2
nが3の倍数	n % 3 == 0
データフレームの列の名前の一覧を使う	df.columns
ドジャーブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='dodgerblue')
十六進文字列をバイト列に変換する	int(s, 16).to_bytes(length=bytesize, byteorder='big')
ヒストグラムを描画して、その色をリネンに設定する	plt.hist(データ列, color='linen')
ヒストグラムを描画して、その色をオリベドラブにする	plt.hist(データ列, color='olivedrab')
折れ線グラフに三角マーカーを使う	plt.plot(データ列, データ列2, marker='^')
散布図をパステル調の色で描画する	plt.plot(xdata, ydata, c='pastel')
折れ線グラフの下三角マーカーを黒くする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='k')
赤い右三角マーカーで散布図を描く	plt.plot(xdata, ydata, marker='>', c='r')
