option: 赤色を使う	color = 'red'
文字列をシンボルに変換する	sympy.Symbol(s)
データフレームのヒストグラム付き散布図を描画する	sns.jointplot(x='列名', y='列名', data=df)
スプリンググリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='springgreen')
線グラフをホワイトスモーク色として描画する	plt.plot(データ列x, データ列y, color='whitesmoke')
option: 線の種類を実線に設定する	linestyle = 'solid'
行列のユニークな要素	np.unique(aArray)
ライトスカイブルー色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='lightskyblue')
ライトグリーン色で線グラフを描画する	plt.plot(データ列x, データ列y, color='lightgreen')
線グラフをフクシア色で描画する	plt.plot(データ列x, データ列y, color='fuchsia')
ライトスレイグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightslategrey')
プロットのカラーパレットを暗くする	sns.set(pallete='dark')
UNIXコマンドtextを実行する	os.system(text)
オブジェクトがリストかタプルか判定する	isinstance(obj, (list)
折れ線グラフの色を赤に指定する	plt.plot(データ列x, データ列y, color='red')
四角印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='s')
ヒストグラムをタン色として描画する	plt.hist(データ列, color='tan')
大文字を小文字に変換する	s.lower()
集合が空か調べる	len(aSet) == 0
数値を黒色で表示する	print(f'\033[30m{value}\033[0m')
option: マーカーの色をサンディーブラウンにする	markerfacecolor = 'sandybrown'
データフレームの選択したカラムが正規分布からどの程度、歪んでいるか見る	df[['列A', '列B']].kurt()
ダークレッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkred')
折れ線グラフの下三角印の色を設定する	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='#800080')
日付時刻データと日付時刻データの時間差が何秒か知る	(aDatetime - aDatetime2).total_seconds()
データフレームの指定したカラムの文字列を欠損値に変換する	df['列A'].replace(値, np.nan)
散布図を四角マーカーで描く	plt.plot(データ列x, データ列y, marker='s')
空のマップを作る	{}
xの小数点以下'3'桁までの文字列に変換する	':.3f'.format(x)
グラフのカラーパレットを淡くする	sns.set(pallete='muted')
棒グラフをブランチドアーモンド色で描画する	plt.bar(データ列x, データ列y, color='blanchedalmond')
折れ線グラフの色をミントクリームにセットする	plt.plot(データ列x, データ列y, color='mintcream')
散布図をライトサーモン色で描画する	plt.scatter(データ列x, データ列y, color='lightsalmon')
文字列内にひとつでも大文字が含まれるか調べる	any(c.isupper() for c in s)
配列と同じ大きさの空配列を作る	np.empty_like(aArray)
文字列をバイト配列に変換する	bytearray(s)
散布図をオリーブ色で描画する	plt.scatter(データ列x, データ列y, color='olive')
ライトブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightblue')
日付データをタプルに変換する	aDate.timetuple()
横棒グラフを青くする	plt.barh(データ列x, データ列y, color='b')
散布図をシスル色として描画する	plt.scatter(データ列x, データ列y, color='thistle')
行列の行ごとの標準偏差	np.std(aArray, axis=1)
ライトグレー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightgray')
エポック秒を日付時刻に変換する	datetime.datetime.fromtimestamp(timestamp)
ヒストグラムをカラーマップを用いて描画する	"plt.hist(データ列x, color=plt.get_cmap(""Spectral""))"
ファイルからバイナリストリームをオープンして]、fとする	f = open(filepath, mode='rb')
ヒストグラムの色をホワイトに設定する	plt.hist(データ列, color='white')
ヒストグラムベースの勾配ブースティング回帰木を作る	model = sklearn.ensemble.HistGradientBoostingRegressor()
追加モードとしてファイルをオープンして]fとする	f = open(filepath, mode='a')
データフレームの相関行列をヒートマップで描画する	sns.heatmap(df.corr())
棒グラフの色を深紅にする	plt.bar(データ列x, データ列y, color='crimson')
データフレームの末尾n行を抽出する	df.tail(n)
実数に実数を加える	x + y
横棒グラフをミディアムアクアマリン色で描画する	plt.barh(データ列x, データ列y, color='mediumaquamarine')
実数の双曲線正弦の逆数	math.asinh(x)
データフレームを二つの列によって昇順にソートする	df.sort_values(by=['列A', '列B'], ascending=True)
カラムを標準化する	scipy.stats.zscore(df['列A'])
データフレームの中の列をリストを境界値としてビン分割する	pd.cut(df[col], aList)
勾配ブースティングで回帰分析を行う	model = sklearn.ensemble.GradientBoostingRegressor()
ヒストグラムの色をカーキに設定する	plt.hist(データ列, color='khaki')
option: 分割記号をタブにする	sep = '\t'
色付きの一点鎖線でデータ列の変遷を描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', color='#800080')
日付時刻データからn秒分、減算する	aDatetime - datetime.timedelta(seconds=n)
暗い赤色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkred')
散布図を耐火レンガ色で描画する	plt.scatter(データ列x, データ列y, color='firebrick')
リストをリバースする	reversed(aList)
ヒストグラムの色をアリスブルーに変更する	plt.hist(データ列, color='aliceblue')
散布図の色をアンティークホワイトにする	plt.scatter(データ列x, データ列y, color='antiquewhite')
配列のユニークな要素とその位置	u, indices = np.unique(aArray, return_index=True)
データフレームをインデックスによって降順で整列する	df.sort_index(ascending=False)
スプリンググリーン色で折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='springgreen')
文字列を走査し正規表現に複数行対応としてマッチするか見る	re.search(pattern, s, flags=re.MULTILINE)
散布図の色をシエナにする	plt.scatter(データ列x, データ列y, color='sienna')
散布図をシーグリーン色で描画する	plt.scatter(データ列x, データ列y, color='seagreen')
option: 青紫にグラフの色を設定する	color = 'violet'
データシリーズの欠損値をその中央値で埋める	ds.fillna(ds.median())
データフレームの下5行を抽出する	df.tail(5)
要素が辞書の値に含まれていないか調べる	element not in aDict.values()
データフレームのカウントプロットを描く	sns.countplot(x='列名', data=df)
正規分布によるパーセント・ポイント関数を使う	scipy.stats.norm.cdf(x, loc=平均値, scale=標準偏差)
データフレームの上10行	df.head(10)
整数nの八進表現	oct(n)
データシリーズがどの程度、正規分布から尖っているか見る	ds.skew()
option: 分類木の深さを制限する	maxdepth = n
リストとリストについての散布図にrgbのバツマーカーを描画する	plt.plot(データ列x, データ列y, marker='x', c=rgb)
標準出力の出力先がターミナルか確認する	sys.stdout.isatty()
棒グラフをダークスレートブルー色で描画する	plt.bar(データ列x, データ列y, color='darkslateblue')
整数nを八進表現に変換する	oct(n)
棒グラフを黄色色で描画する	plt.bar(データ列x, データ列y, color='yellow')
クラスのサブクラスか調べる	issubclass(サブクラス, クラス)
リストが空か調べる	len(aList) == 0
データフレーム中の欠損値をドロップしてみる	df.dropna()
辞書のコピー	dict(aDict)
整数nを符号付きでバイナリに変換する	n.to_bytes((n.bit_length() + 7) // 8, byteorder='big', signed=True)
横棒グラフの色をパープルにする	plt.barh(データ列x, データ列y, color='purple')
２つの列によって破壊的にデータフレームを降順にソートする	df.sort_values(by=['列A', '列B'], ascending=False, inplace=True)
日付時刻データをタプルにする	aDatetime.timetuple()
イテラブルからひとつランダムに選ぶ	random.choice(iterable)
データフレームをグループ化して、ヒストグラムで可視化する	sns.histplot(df, x='列名', hue='カテゴリ名')
整数のn乗の実数剰余を求める	pow(x, n, y)
データフレームを複数の列によってソートする	df.sort_values(by=['列A', '列B'])
データ列を等量でビン数nでビン分割する	pd.qcut(ds, n)
オブジェクトは浮動小数点数クラスか調べる	isinstance(obj, float)
オプションでファイルを出力にする	file = sys.open(filename, 'w')
ヒストグラムの色をダークオリーブグリーンに設定する	plt.hist(データ列, color='darkolivegreen')
データフレームの一部のカラムの値を正規表現で全部置換する	df[['列A', '列B']].replace(pattern, repl, regex=True)
青い丸印を折れ線グラフに描画する	plt.plot(データ列x, データ列y, marker='o', markerfacecolor='b')
棒グラフをドジャーブルー色を用いて描画する	plt.bar(データ列x, データ列y, color='dodgerblue')
データシリーズの統計量	ds.describe()
カラーバーを横向きで付ける	plt.colorbar(orientation='horizontal')
部分的最小二乗法で回帰分析をする	model = sklearn.cross_decomposition.PLSRegression(n_components=10)
イテラブルから複数個、ランダムに選ぶ	random.choices(iterable, k=n)
predicateFuncが真となるイテラブルの部分	itertools.dropwhile(predicateFunc, iterable)
スライドにプロットを設定する	sns.set(context='talk')
散布図に下三角印を使う	plt.scatter(データ列x, データ列y, marker='v')
両端キューの中に要素が含まれてるか調べる	element in deq
option: マーカーの色をラベンダーにする	markerfacecolor = 'lavender'
あるカラムの標本標準偏差	df['列A'].std(ddof=1)
折れ線グラフに菱形印を加える	plt.plot(データ列x, データ列y, marker='D')
折れ線グラフをタン色で描画する	plt.plot(データ列x, データ列y, color='tan')
両端キュー中の要素の数を数える	deq.count(element)
ライトサーモン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightsalmon')
折れ線グラフの色をライトグレーに設定する	plt.plot(データ列x, データ列y, color='lightgray')
ふたつの列からグループ化し最小値を求める	df.groupby(['列A', '列B'], as_index=False).min()
双方向キューの長さを制限する	collections.deque(maxlen=n)
データシリーズを百の位で丸めて整数型にする	ds.round(-2).astype(int)
データシリーズの最頻値	ds.mode()
文字列を黄色にする	f'\033[33m{value}\033[0m'
option: ライトスチールブルーを使う	color = 'lightsteelblue'
配列の列ごとの標準偏差	np.std(aArray, axis=0)
option: ８ビット整数型を使う	dtype = np.int8
データフレームの選択したカラムの値がNaNかどうか調べる	df[['列A', '列B']].isna()
横棒グラフを黄色くする	plt.barh(データ列x, データ列y, color='y')
折れ線グラフの大バツマーカーの太さを変更する	plt.plot(データ列x, データ列y, marker='X', markeredgewidth=2.5)
option: ダークスラテグレーを使う	color = 'darkslategray'
キーが辞書に存在しない時要素を追加する	aDict.setdefault(key, element)
標準エラーを得る	sys.stderr
折れ線グラフの色をライムグリーンに設定する	plt.plot(データ列x, データ列y, color='limegreen')
パレットトルコイズ色のヒストグラムを描画する	plt.hist(データ列, color='paleturquoise')
最大値で正規化を行う	sklearn.preprocessing.MaxAbsScaler().fit_transform(データ)
数式の平方根を求める	sympy.sqrt(e)
ペールグリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='palegreen')
パパイヤウィップ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='papayawhip')
線グラフの色をフォレストグリーンに設定する	plt.plot(データ列x, データ列y, color='forestgreen')
横棒グラフをターコイズ色で描画する	plt.barh(データ列x, データ列y, color='turquoise')
ディムグレー色で線グラフを描画する	plt.plot(データ列x, データ列y, color='dimgrey')
ふたつの集合の差集合を計算する	aSet.difference(aSet2)
散布図の左三角マーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='<', markeredgewidth=2.5)
option: グラフの色をミディアムオーキッドに設定する	color = 'mediumorchid'
横棒グラフをレベッカパープル色を用いて描画する	plt.barh(データ列x, データ列y, color='rebeccapurple')
両端キューから部分を取り出す	collections.deque(itertools.islice(deq, start, end))
データフレームを丸めて、整数型にする	df.round().astype(int)
青い横棒グラフを描画する	plt.barh(データ列x, データ列y, color='b')
option: 色をダークオーキッドに設定する	color = 'darkorchid'
棒グラフの色を青にする	plt.bar(データ列x, データ列y, color='blue')
Pandasのバージョンを表示する	print(pd.__version__)
折れ線グラフをピーチパフ色で描画する	plt.plot(データ列x, データ列y, color='peachpuff')
列を分割する	pd.cut(ds, aList)
xを浮動小数点数型に変換する	float(x)
option: ナバホホワイトにフォントの色を設定する	color = 'navajowhite'
リストから文字列と等しい最初の要素を取り除く	aList.remove(element)
ネイビーにヒストグラムの色をセットする	plt.hist(データ列, color='navy')
グリッド線を黄色くする	plt.grid(color='y')
イテラブルを配列に変換する	np.array(iterable)
nがn2の倍数でない	n % n2 != 0
棒グラフの色をダークシアンにする	plt.bar(データ列x, データ列y, color='darkcyan')
option: フォントの色をフォレストグリーンに指定する	color = 'forestgreen'
シエナ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='sienna')
横棒グラフをライトシアン色として描画する	plt.barh(データ列x, データ列y, color='lightcyan')
アイボリー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='ivory')
表示可能な列数の最大値をnに設定する	pd.set_option('display.max_columns', n)
円グラフを時計回りに描く	plt.pie(データ列, startangle=90, counterclock=False)
行列の行列式	np.linalg.det(aArray)
データフレームの指定したカラムの欠損値を最大値に設定する	df['列A'].fillna(df['列A'].max())
文字列の開始位置以降に部分文字列があるかどうか調べる	s.find(sub, start) != -1
列と列をペアのリストにする	itertools.zip_longest(iterable, iterable2)
散布図の色をハニーデューにする	plt.scatter(データ列x, データ列y, color='honeydew')
珊瑚色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='coral')
文字列の開始位置以降が部分文字列で始まるか調べる	s.startswith(sub, start)
乱数生成系列を初期化する	random.seed()
切片なしの単回帰分析を行う	model = sklearn.linear_model.LinearRegression(fit_intercept=False)
option: スノーを使う	color = 'snow'
散布図の丸マーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='o', markerfacecolor='#800080')
option: 左三角マーカーを描画する	marker = '<'
サドルブラウン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='saddlebrown')
現在の分数	datetime.date.today().minute
文字列中に部分文字列がいくつか含まれるか調べる	s.count(sub)
散布図を大バツマーカーで描画する	plt.plot(データ列x, データ列y, marker='X')
データシリーズを丸めて、整数型にする	ds.round().astype(int)
ヒストグラムをフォレストグリーン色で描画する	plt.hist(データ列, color='forestgreen')
横棒グラフの色を青にする	plt.barh(データ列x, データ列y, color='blue')
ヒストグラムをドジャーブルー色で描画する	plt.hist(データ列, color='dodgerblue')
行列の列ごとの最小	np.min(aArray, axis=0)
散布図に黒い四角マーカーを描画する	plt.scatter(データ列x, データ列y, marker='s', markerfacecolor='k')
option: グラフの線の種類を実線に設定する	linestyle = 'solid'
データフレームの指定したカラムの要約統計量を求める	df['列A'].describe()
現在のモジュール	sys.modules[__name__]
ラジアンの角度	math.degrees(x)
折れ線グラフの色をライトコーラルに設定する	plt.plot(データ列x, データ列y, color='lightcoral')
ロイヤルブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='royalblue')
最初のを除いたデータフレームを使う	df[df.columns[1:]]
回帰木の重要度を表示する	plt.barh(X.columns, model.feature_importances_)
折れ線グラフの色をタンに設定する	plt.plot(データ列x, データ列y, color='tan')
option: マーカーの色をピンクにする	markerfacecolor = 'pink'
日付データが日付データより遅いか調べる	aDate > aDate2
option: ライトグレーを使用する	color = 'lightgray'
乱数を正規分布で求める	random.normalvariate(mu=0.5, sigma=0.2)
十六進表記の文字列を浮動小数点数に変換する	float.fromhex(十六進表記の文字列)
線グラフの色をタンにセットする	plt.plot(データ列x, データ列y, color='tan')
ネイビー色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='navy')
option: 三角マーカーを加える	marker = '^'
option: シエナに色を設定する	color = 'sienna'
データフレームの中の欠損値の合計をカウントする	df.isna().sum()
インディアンレッド色の線グラフを描画する	plt.plot(データ列x, データ列y, color='indianred')
文字列をゼロ埋めする	s.zfill(文字列幅)
文字列の先頭で正規表現に複数行対応としてマッチさせる	re.match(pattern, s, flags=re.MULTILINE)
nがn2と等しいか確認する	n == n2
ヒストグラムの色をディープスカイブルーに設定する	plt.hist(データ列, color='deepskyblue')
指定した列のカテゴリで集計し、平均値を計算する	df.groupby('列A').mean()
新しい単回帰モデルを新規作成する	model = sklearn.linear_model.LinearRegression()
横棒グラフを黄色色で描画する	plt.barh(データ列x, データ列y, color='yellow')
半透明の実線でイテラブルの推移を描く	plt.plot(データ列x, データ列y, linestyle='solid', alpha=0.5)
全ての印字	string.printable
折れ線グラフをネイビー色で描画する	plt.plot(データ列x, データ列y, color='navy')
データフレームの選択したカラムがどの程度、分散しているか見る	df[['列A', '列B']].var()
文字列の中で大文字・小文字を無視して正規表現にマッチした全文字列をリストに変換する	re.findall(pattern, s, flags=re.IGNORECASE)
整数nの8進表現	oct(n)
データ列の散布図を描画する	plt.scatter(データ列x, データ列y)
データフレームの選択したカラムの中に文字列と文字列がいくつあるか数える	df[['列A', '列B']].isin([value, value2]).sum()
ダークゴールデンロッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkgoldenrod')
折れ線グラフをパールバイオレットレッド色で描画する	plt.plot(データ列x, データ列y, color='palevioletred')
線グラフをダークシアグリーン色で描画する	plt.plot(データ列x, データ列y, color='darkseagreen')
縦棒グラフの色をパープルにする	plt.bar(データ列x, データ列y, color='purple')
データフレームの欠損値を最小値で埋める	df.fillna(df.min())
折れ線グラフを青い破線で描画する	plt.plot(データ列x, データ列y, linestyle='dashed', color='b')
マルーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='maroon')
散布図を赤いバツマーカーで描画する	plt.plot(データ列x, データ列y, marker='x', c='r')
二つのオブジェクトが同一参照か調べる	obj is obj2
1文字だけ標準入力から読む	sys.stdin.read(1)
データフレームの選択したカラムを千の位で丸めて、整数型にする	df[['列A', '列B']].round(-3).astype(int)
option: マーカーの色をディープスカイブルーにする	markerfacecolor = 'deepskyblue'
ハニーデュー色を使って棒グラフを描画する	plt.bar(データ列x, データ列y, color='honeydew')
折れ線グラフを青い一点鎖線で描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', color='b')
折れ線グラフを一点鎖線で描画する	plt.plot(データ列x, データ列y, linestyle='dashbot')
文字列内にひとつでもアルファベットがあるか判定する	any(c.isalpha() for c in s)
文字列はタプルに含まれるか調べる	element in aTuple
散布図をダークオリーブグリーン色で描画する	plt.scatter(データ列x, データ列y, color='darkolivegreen')
散布図のマーカーをダイアモンドにする	plt.scatter(データ列x, データ列y, marker='D')
棒グラフを黄色色を用いて描画する	plt.bar(データ列x, データ列y, color='yellow')
スレートブルー色のヒストグラムを描画する	plt.hist(データ列, color='slateblue')
折れ線グラフの色をペルーに設定する	plt.plot(データ列x, データ列y, color='peru')
ヒストグラムの色をスプリンググリーンに設定する	plt.hist(データ列, color='springgreen')
データ列と配列について散布図を描画して文字列という補足用のラベルを付ける	plt.scatter(データ列x, データ列y, label=s)
折れ線グラフの四角印の太さを変更する	plt.plot(データ列x, データ列y, marker='s', markeredgewidth=2.5)
PNGファイルとしてグラフを保存する	plt.savefig('foo.png')
0からnの範囲	range(n)
ミディアムブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumblue')
青色で文字列を出力する	print(f'\033[34m{value}\033[0m')
折れ線グラフのマーカーを△印にする	plt.plot(データ列x, データ列y, marker='^')
データフレームのあるカラムのタイムゾーンを日本に設定する	df['列A'].tz_convert('Asia/Tokyo')
option: マーカーの色をグレーにする	markerfacecolor = 'grey'
データフレームの一部のカラムの欠損値をxに設定する	df[['列A', '列B']].fillna(x)
option: オリベドラブ色を使う	color = 'olivedrab'
棒グラフをライトスレイグレー色で描画する	plt.bar(データ列x, データ列y, color='lightslategrey')
大バツマーカーで散布図を描く	plt.plot(データ列x, データ列y, marker='X')
横方向に３つの表データを連結する	pd.concat([df, df2, df3], axis=1)
紺碧色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='azure')
タイムスタンプ型のデータシリーズをインデックスにする	df.index = pd.DatetimeIndex(ds)
二つの変数をそれぞれ定義する	x, y = i, j
文字列がタプルに含まれないかどうか	element not in aTuple
ヒストグラムを青色で描画する	plt.hist(データ列, color='blue')
ダークバイオレット色のヒストグラムを描画する	plt.hist(データ列, color='darkviolet')
横棒グラフをシアン色として描画する	plt.barh(データ列x, データ列y, color='cyan')
複数のデータフレームを縦方向に結合する	pd.concat([df, df2, df3], axis=0)
データフレームをある列のカテゴリで分類して、各グループごとの件数を知る	df.groupby('列A').size()
棒グラフの色を青紫にする	plt.bar(データ列x, データ列y, color='violet')
nからn2を引く	n - n2
青い一点鎖線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', color='b')
option: 改行の代わりに文字列を用いる	end = s
浮動小数点数の3乗	x ** 3
option: グラフの色をライトイエローに設定する	color = 'lightyellow'
プラム色で散布図を描画する	plt.scatter(データ列x, データ列y, color='plum')
浮動小数点数を浮動小数点数で除算して、切り捨てる	x // y
散布図の色をダークグレーにする	plt.scatter(データ列x, データ列y, color='darkgray')
カテゴリ別で色分けしてデータフレームを回帰直線付き散布図にする	sns.regplot(x='列名', y='列名', hue='カテゴリ列', data=df)
棒グラフをライトグレー色で描画する	plt.bar(データ列x, データ列y, color='lightgray')
折れ線グラフに丸マーカーを使う	plt.plot(データ列x, データ列y, marker='o')
ヒストグラムでデータフレームのカラムを描く	plt.hist(df[column])
option: マーカーの色をライトスレイグレーにする	markerfacecolor = 'lightslategrey'
組の中の最大値	max(aTuple)
耐火レンガ色として散布図を描画する	plt.scatter(データ列x, データ列y, color='firebrick')
ヒストグラムの色を黄色に設定する	plt.hist(データ列, color='yellow')
折れ線グラフの左三角マーカーの太さを変更する	plt.plot(データ列x, データ列y, marker='<', markeredgewidth=2.5)
option: グラフの色をプラムに設定する	color = 'plum'
データフレームのカラムが正規分布か調べる	scipy.stats.shapiro(df['列A'])
データを最大値と最小値で正規化する	sklearn.preprocessing.MinMaxScaler().fit_transform(データ)
データフレーム中の欠損値をドロップする	df.dropna(inplace=True)
データフレームの値はNaN	df.isna()
横棒グラフの色をディープスカイブルーにする	plt.barh(データ列x, データ列y, color='deepskyblue')
リストとリストの散布図に黒い三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^', c='k')
棒グラフをミディアムアクアマリン色で描画する	plt.bar(データ列x, データ列y, color='mediumaquamarine')
option: ラベンダーにグラフの色を設定する	color = 'lavender'
option: マーカーの色をリネンにする	markerfacecolor = 'linen'
散布図の色をアリスブルーにする	plt.scatter(データ列x, データ列y, color='aliceblue')
点線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dotted')
原点から(実数,y)の距離	math.hypot(x, y)
パラメータが無限大に近づく際の数値の極限値を計算する	sympy.limit(e, z, oo)
option: グラフの色をチョコレートに設定する	color = 'chocolate'
折れ線グラフの色をインディゴに設定する	plt.plot(データ列x, データ列y, color='indigo')
折れ線グラフに青い左三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='<', markerfacecolor='b')
文字列内にひとつでも数字が含まれるか調べる	any(c.isdigit() for c in s)
折れ線グラフをゴールデンロッド色で描画する	plt.plot(データ列x, データ列y, color='goldenrod')
棒グラフを淡いピンク色色で描画する	plt.bar(データ列x, データ列y, color='lightpink')
折れ線グラフのダイアモンド印の線幅を変更する	plt.plot(データ列x, データ列y, marker='D', markeredgewidth=2.5)
二つのデータフレームを横方向に結合する	pd.concat([df, df2], axis=1)
option: グラフの色をミッドナイトブルーに設定する	color = 'midnightblue'
折れ線グラフの色をサドルブラウンに設定する	plt.plot(データ列x, データ列y, color='saddlebrown')
データ列のユニークな値の個数	ds.nunique()
Pythonインタプリタの実行ファイルの絶対パスを確認する	sys.executable
ペルー色で縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='peru')
横棒グラフの色をパパイヤウィップにする	plt.barh(データ列x, データ列y, color='papayawhip')
ダークバイオレット色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkviolet')
オブジェクトの固有のIDを使う	id(obj)
折れ線グラフの色をサンディーブラウンに設定する	plt.plot(データ列x, データ列y, color='sandybrown')
棒グラフをシャルトリューズ色を使って描画する	plt.bar(データ列x, データ列y, color='chartreuse')
改行を取り除いてファイルを一行ずつ読み込む	f.readline()
十六進数字を全部使う	string.hexdigits
日付時刻データが何月か知る	aDatetime.month
実数の正弦の逆数	math.asin(x)
カーキ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='khaki')
横棒グラフをコーンズシルク色で描画する	plt.barh(データ列x, データ列y, color='cornsilk')
option: ミディアムブルー色を用いる	color = 'mediumblue'
無限にnからカウントアップする	itertools.count(start=n)
横棒グラフの色をホットピンクにする	plt.barh(データ列x, データ列y, color='hotpink')
折れ線グラフを半透明の一点鎖線で描画する	plt.plot(データ列x, データ列y, linestyle='dashbot', alpha=0.5)
数式の因数分解を行う	sympy.factor(e)
nをn2で割った余りをnとする	n %= n2
エクセルファイルから複数のシートを指定してデータフレームとして読み込む	pd.read_excel('file.xlsx', sheet_name=[0, 1])
最大最小から行列	np.linspace(最小値, 最大値, 要素数)
カウンタ間でインターセクション演算する	aCounter & aCounter2
ラベンダー色で縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='lavender')
最後の列を除いたデータフレームを使う	df[df.columns[:-1]]
折れ線グラフの色をシアンに変更する	plt.plot(データ列x, データ列y, color='cyan')
二つの文字列をコロンで区切ってプリントする	print(value, value2, sep=':')
タイタニック号のデータセットからデータフレームを読み込む	df = sns.load_dataset('titanic')
折れ線グラフの色をオレンジレッドに変更する	plt.plot(データ列x, データ列y, color='orangered')
データフレームの一部の列の分散	df[['列A', '列B']].var()
ふたつの集合に共通する要素からなる集合	aSet.intersection(aSet2)
棒グラフの色をミントクリームにする	plt.bar(データ列x, データ列y, color='mintcream')
数値を黒色でプリントできる文字列にする	f'\033[30m{value}\033[0m'
コーンフラワーブルー色を用いてヒストグラムを描画する	plt.hist(データ列, color='cornflowerblue')
ライトグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightgrey')
数値を赤色で表示できる文字列に変換する	f'\033[31m{value}\033[0m'
文字列の中の大文字・小文字を無視して正規表現による全てのマッチを使う	re.findall(pattern, s, flags=re.IGNORECASE)
折れ線グラフをダークスレートブルー色を用いて描画する	plt.plot(データ列x, データ列y, color='darkslateblue')
散布図の色をダークスレートブルーにする	plt.scatter(データ列x, データ列y, color='darkslateblue')
データフレームのカラムの中に文字列と文字列がいくつあるか数える	df['列A'].isin([value, value2]).sum()
option: ダイアモンド印を使う	marker = 'D'
双方向キュー中の要素のインデックスを使う	deq.index(element)
あるカラムの標準偏差	df['列A'].std()
option: グラフのスタイルを点線に設定する	linestyle = 'dotted'
二つのカウンタの共通する値	aCounter & aCounter2
折れ線グラフをオーキッド色で描画する	plt.plot(データ列x, データ列y, color='orchid')
ダークカーキ色のヒストグラムを描画する	plt.hist(データ列, color='darkkhaki')
縦棒グラフをグレー色で描画する	plt.bar(データ列x, データ列y, color='gray')
文字列中にひとつでも非アルファベットが含まれるか調べる	any(not c.isalpha() for c in s)
文字列がタプルの要素か調べる	element in aTuple
ミスティローズ色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='mistyrose')
折れ線グラフをライトスレイグレー色で描画する	plt.plot(データ列x, データ列y, color='lightslategrey')
クラス分類の予測精度を確認する	混同行列 = sklearn.metrics.confusion_matrix(正解データ列, 予測データ列)
表データをダミー変数に変換する	pd.get_dummies(df)
横棒グラフをライトグリーン色を用いて描画する	plt.barh(データ列x, データ列y, color='lightgreen')
黄色色の線グラフを描画する	plt.plot(データ列x, データ列y, color='yellow')
option: バイナリ書き込み用に指定する	mode = 'wb'
ファイルの絶対パスを使う	os.path.abspath(filepath)
散布図をミディアムアクアマリン色で描画する	plt.scatter(データ列x, データ列y, color='mediumaquamarine')
サドルブラウン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='saddlebrown')
散布図をホワイトスモーク色で描画する	plt.scatter(データ列x, データ列y, color='whitesmoke')
全要素を0で初期化したベクトルを作成する	np.zeros(要素数)
タプルの末尾からn番目以前の部分を取り出す	aTuple[:-n]
option: ダークオーキッド色を使用する	color = 'darkorchid'
ヒストグラムをチョコレート色として描画する	plt.hist(データ列, color='chocolate')
option: グラフの色を青紫にセットする	color = 'violet'
折れ線グラフの色をクリムゾンに変更する	plt.plot(データ列x, データ列y, color='crimson')
option: フォントの色をライトゴールドロディイエローに設定する	color = 'lightgoldenrodyellow'
横棒グラフの色をローングリーンにする	plt.barh(データ列x, データ列y, color='lawngreen')
データフレームの文字列を欠損値に変換する	df.replace(値, np.nan)
散布図の四角マーカーを黒くする	plt.scatter(データ列x, データ列y, marker='s', markerfacecolor='k')
横棒グラフの色をライトスチールブルーにする	plt.barh(データ列x, データ列y, color='lightsteelblue')
option: マーカーを右三角に設定する	marker = '>'
横棒グラフの色をカーキにする	plt.barh(データ列x, データ列y, color='khaki')
文字列の先頭から部分文字列を探す	s.find(sub)
