文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
データフレームのpercent分位数	df.quantile(percent/100)
データフレームを'A'列によって昇順にソートする	df.sort_values(by='A', ascending=True)
ヒストグラムの色をダークオリーブグリーンに設定する	plt.hist(データ列, color='darkolivegreen')
データフレームの列が文字列で終わる行を抽出する	df[df[column].str.endswith(s)]
イテラブルをダミー変数に変換する	pd.get_dummies(iterable)
ファイル全体を行ごとに分割してリストに変換する	[s.strip() for s in f.readlines()]
リストとリストを折れ線グラフで描画する	plt.plot(xdata, ydata)
ナバホホワイト色の線グラフを描画する	plt.plot(データ列, データ列2, color='navajowhite')
リストとリストについて散布図を描いて、色を明るいに設定する	plt.plot(xdata, ydata, c='bright')
＜オプション＞▼マーカーを描画する	marker = 'v'
＜オプション＞アイボリー色を使う	color = 'ivory'
配列の全要素を指定の値にする	aArray[:, :] = 指定の値
ヒストグラムの色をカーキに設定する	plt.hist(データ列, color='khaki')
リストの文字列が最初に見つかるインデックス	aList.index(element)
データフレームのカラムの文字列を未入力値に変換する	df[col].replace(s, np.nan)
リストを引数として展開して表示する	print(*aList)
データフレームの中の列と列に重複があれば、マスクする	df.duplicated(subset=[column, column2])
折れ線グラフの色をダークターコイズに設定する	plt.plot(データ列, データ列2, color='darkturquoise')
ヒストグラムの色をアンティークホワイトに設定する	plt.hist(データ列, color='antiquewhite')
現在の分数を使う	datetime.date.today().minute
＜オプション＞フォレストグリーン色を用いる	color = 'forestgreen'
列'A'と列'B'をキーとして二つのデータフレームを内部結合する	pd.merge(df, df2, left_on=column, right_on=column2, how='inner')
折れ線グラフに黒い左三角マーカーを描画する	plt.plot(データ列, データ列2, marker='<', markerfacecolor='k')
ヒストグラムを描画して、その色をブルーバイオレットに設定する	plt.hist(データ列, color='blueviolet')
Pandasのバージョンを見る	print(pd.__version__)
データフレームを'A'列によってソートして、更新する	df.sort_values(by='A', inplace=True)
折れ線グラフの色をゴーストホワイトに設定する	plt.plot(データ列, データ列2, color='ghostwhite')
折れ線グラフに黄色い大バツマーカーを描画する	plt.plot(データ列, データ列2, marker='X', markerfacecolor='y')
ダークカーキ色のヒストグラムを描画する	plt.hist(データ列, color='darkkhaki')
ヒストグラムを描画して、その色をラベンダーブラッシュに設定する	plt.hist(データ列, color='lavenderblush')
折れ線グラフの色をブランチドアーモンドに指定する	plt.plot(データ列, データ列2, color='blanchedalmond')
ヒストグラムの色をライムグリーンに設定する	plt.hist(データ列, color='limegreen')
要素が集合に含まれるか調べる	element in aSet
横棒グラフを描画する	plt.barh(ラベル列, データ列)
ヒストグラムを描画して、その色をインディアンレッドに変更する	plt.hist(データ列, color='indianred')
折れ線グラフのバツマーカーの大きさをnに設定する	plt.plot(データ列, データ列2, marker='x', markersize=n)
明るいグラフの色を赤にする	plt.plot(xdata, ydata, linestyle='bright', color='r')
＜オプション＞カンマをセパレータで使用する	sep = ','
データフレームのリストカラムの文字列を欠損値に変換する	df[aList].replace(s, np.nan)
文字列中に部分文字列が含まれないか調べる	sub not in s
タプルの合計値	sum(aTuple)
リストとリストでパステル調のグラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='pastel', color='r')
n2分のn	n / n2
散布図にカラーコードの下三角マーカーを使う	plt.plot(xdata, ydata, marker='v', c=rgb)
要素は集合のメンバーでないかどうか調べる	element not in aSet
データフレームを列によってソートして、上位n件を取り出す	df.sort_values(columns).head(n)
nとn2の排他的論理和	n ^ n2
文字列内にひとつでも空白が含まれるか調べる	any(c.isspace() for c in s)
折れ線グラフの色を文字列に設定する	plt.plot(xdata, ydata, color=s)
折れ線グラフを描画して、その色をダークオリーブグリーンに設定する	plt.plot(データ列, データ列2, color='darkolivegreen')
アンティークホワイト色の線グラフを描画する	plt.plot(データ列, データ列2, color='antiquewhite')
xを論理値に変換する	bool(x)
文字列の先頭でASCII限定として正規表現にマッチさせる	re.match(pattern, s, flags=re.ASCI)
日付データにn週間分、加える	aDate + datetime.timedelta(weeks=n)
＜オプション＞グラフの色をライトグリーンに設定する	color = 'lightgreen'
ミスティローズ色のヒストグラムを描画する	plt.hist(データ列, color='mistyrose')
実数を切り上げて整数に変換する	math.ceil(x)
リストとリストについての散布図に黒いバツマーカーを描画する	plt.plot(xdata, ydata, marker='x', c='k')
浮動小数点数の有理数近似	q.limit_denominator(max_denominator=1000000)
n割るn2の切り上げ	(n + n2 - 1) // n2
点線に折れ線グラフを変更する	plt.plot(データ列, データ列2, linestyle='dotted')
＜オプション＞グラフの色をホワイトスモークに設定する	color = 'whitesmoke'
要素ひとつのりスト	[element]
CSVファイルTSVファイルをn番目のカラムをインデックスとして読み込む	pd.read_csv(filename, index_col=n)
既存のファイルパスを文字列の示すエンコーディングとして追加できるようにオープンする]	open(filepath, mode='a', encoding=s)
文字列中から正規表現にマッチする文字列を探す	re.search(pattern, s)
リストを展開してプリントする	print(*aList)
折れ線グラフを描画して、その色をスプリンググリーンに設定する	plt.plot(データ列, データ列2, color='springgreen')
データフレームから列を一つ選択する	df[[column]]
昇順に組の要素をソートする	sorted(aTuple, reverse=True)
黒い大バツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='X', c='k')
TSVファイルを読み込む	pd.read_csv(filename, sep='\t')
ヒストグラムを描画して、その色をシルバーに設定する	plt.hist(データ列, color='silver')
文字列を黄色でプリントする	print(f'\033[33m{value}\033[0m')
ひとつでも数字が文字列内に含まれるか調べる	any(c.isdigit() for c in s)
プラットフォームの符号付き整数の最大値	sys.maxsize
データ列とデータ列から重複を取り除く	set(ds.unique().tolist()+ds2.unique().tolist())
折れ線グラフを描画して、色を白くする	plt.plot(データ列, データ列2, color='w')
グラフの描画でパステル調の色を使用する	sns.set(pallete='pastel')
カウンタをリセットする	aCounter.clear()
折れ線グラフの色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgray')
パステル調の色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='pastel', alpha=0.5)
シャルトリューズ色のヒストグラムを描画する	plt.hist(データ列, color='chartreuse')
datetimeをインスタンス化する	datetime.datetime(年, 月, 日, 時, 分, 秒)
標準エラー	sys.stderr
文字列を部分文字列で分けたときの前半の文字列	s.partition(sub)[0]
データフレームから列を３つだけ選択する	df[[column, column2, column3]]
＜オプション＞グラフの色をグリーンイエローに設定する	color = 'greenyellow'
実数を実数で割った余り	x % y
ライトゴールドロディイエロー色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
シスル色の線グラフを描画する	plt.plot(データ列, データ列2, color='thistle')
itertoolsモジュールをインポートする	import itertools
nが1、もしくは2か調べる	n == 1 or n == 2
線グラフを描画してその色をゴールデンロッドに指定する	plt.plot(データ列, データ列2, color='goldenrod')
折れ線グラフに大きさnの丸マーカーを描画する	plt.plot(データ列, データ列2, marker='o', markersize=n)
折れ線グラフのポイントマーカーの大きさをnに設定する	plt.plot(データ列, データ列2, marker='.', markersize=n)
ヒストグラムを描画して、その色をロージーブラウンに設定する	plt.hist(データ列, color='rosybrown')
xを印字できる文字列にする	ascii(x)
文字列を空白で分割する	s.split()
year年month月day日の日付	datetime.date(year=year, month=month, day=day)
ファイルをオープンして]追加ストリームを使う	open(filepath, mode='a')
小文字を全部使う	string.ascii_lowercase
オブジェクトは整数クラスかどうか調べる	isinstance(obj, int)
実数の正弦	math.sin(x)
データフレームの中の列と列に重複があれば、削除する	df.drop_duplicates(subset=[column, column2])
折れ線グラフの色をフローラルホワイトに設定する	plt.plot(データ列, データ列2, color='floralwhite')
黒いヒストグラムを描画する	plt.hist(データ列, color='k')
折れ線グラフを破線で描画する	plt.plot(データ列, データ列2, linestyle='dashed')
散布図に黒い星マーカーを使う	plt.plot(xdata, ydata, marker='*', c='k')
データ列と配列について散布図をプロットして、マーカーを下三角に設定する	plt.plot(xdata, ydata, marker='v')
二変数の最小値	min(x, y)
データ列の中にある文字列の合計を数える	ds.isin([value]).sum()
ヒストグラムの色をブランチドアーモンドに設定する	plt.hist(データ列, color='blanchedalmond')
データフレームのカラムの空文字をドロップする	df[col].replace('', np.nan).dropna()
ヒストグラムを描画して、色をイエローグリーンに設定する	plt.hist(データ列, color='yellowgreen')
リストとリストについての散布図に右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>')
第一引数で指定されたファイルの名前	sys.argv[1]
折れ線グラフを描画して、その色をライトスチールブルーに設定する	plt.plot(データ列, データ列2, color='lightsteelblue')
全要素を1で初期化された行列	np.ones(行数, 列数, dtype=np.int)
ヒストグラムを描画して、その色をサンディーブラウンに設定する	plt.hist(データ列, color='sandybrown')
散布図をパステル調の色でプロットする	plt.plot(xdata, ydata, c='pastel')
双方向キューをポップする	deq.pop()
降順にデータフレームを列によってによって並べる	df.sort_values(by=column, ascending=False)
散布図に黒いポイントマーカーを使う	plt.plot(xdata, ydata, marker='.', c='k')
文字列をISO書式で日付時刻に変換する	datetime.datetime.fromisoformat(日付の書かれた文字列)
折れ線グラフを描画して、その色をダークグリーンに設定する	plt.plot(データ列, データ列2, color='darkgreen')
データフレームの列をヒストグラムで可視化する	plt.hist(df[column])
集合をイミュータブルな集合にする	frozenset(aSet)
Pandasで、フォーマットfmtでデータフレームのcollを日付データに変換する	pd.to_datetime(df[col], format=fmt)
配列とリストについて散布図を描画して、大バツマーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='X', c=rgb)
＜オプション＞エンコーディングをEUCに設定する	encoding = 'euc_jp'
データフレームから型リストで指定されたデータ型の列だけ抽出する	df.select_dtypes(include=typeList)
エラーを出力する	sys.stderr
散布図に赤い右三角マーカーを使う	plt.plot(xdata, ydata, marker='>', c='r')
データフレームの列と列を削除する	df.drop([column, column2], axis=1)
ヒストグラムの色をローングリーンに設定する	plt.hist(データ列, color='lawngreen')
折れ線グラフの色をパープルに設定する	plt.plot(データ列, データ列2, color='purple')
折れ線グラフを描画して、その色をタンに設定する	plt.plot(データ列, データ列2, color='tan')
逆順の両端キュー	reversed(deq)
文字列全体を複数行対応として正規表現にマッチさせる	re.fullmatch(pattern, s, flags=re.MULTILINE)
データフレームを二つの列によって昇順にソートする	df.sort_values(by=['A', 'B'], ascending=True)
データフレームのカラムの歪度	df[col].kurt()
＜オプション＞グラフの色をドジャーブルーに設定する	color = 'dodgerblue'
日付時刻データををn秒後に進める	aDatetime + datetime.timedelta(seconds=n)
リストとリストについて散布図を描画して、マーカーを大バツに設定する	plt.plot(xdata, ydata, marker='X')
列をキーにして二つのデータフレームを結合する	pd.merge(df, df2, on=column)
タプルの末尾のn要素を取り除く	aTuple[:-n]
＜オプション＞レベッカパープル色を使う	color = 'rebeccapurple'
＜オプション＞エンコーディングを文字列の示すエンコーディングに設定する	encoding = s
＜オプション＞符号なし８ビット整数型を使う	dtype = np.uint8
散布図に黒い大バツマーカーを使う	plt.plot(xdata, ydata, marker='X', c='k')
折れ線グラフに赤い四角マーカーを描画する	plt.plot(データ列, データ列2, marker='s', markerfacecolor='r')
折れ線グラフの色をブラックに設定する	plt.plot(データ列, データ列2, color='black')
日付時刻データからn週間分、減算する	aDatetime - datetime.timedelta(weeks=n)
データフレームを複数の列によって降順に破壊的にソートする	df.sort_values(by=column, ascending=False, inplace=True)
ケンドール順位相関係数で表データのリストカラムの相関行列	df[aList].corr(method='kendall')
折れ線グラフの色をライトブルーに設定する	plt.plot(データ列, データ列2, color='lightblue')
イテラブルの全順列	itertools.permutations(iterable)
黒い四角マーカーをイテラブルと配列の散布図に描画する	plt.plot(xdata, ydata, marker='s', c='k')
データ列を使う	import pandas as pd
エンコーディングを使う	sys.getdefaultencoding()
上限nの双方向キューをイテラブルから準備する	collections.deque(iterable, maxlen=n)
折れ線グラフの色をプラムに設定する	plt.plot(データ列, データ列2, color='plum')
折れ線グラフの菱形マーカーを赤色にする	plt.plot(データ列, データ列2, marker='D', markerfacecolor='r')
データフレームのリストカラムの第三四分位数	df[aList].quantile(0.75)
列の一意な値	ds.unique()
両端キューのstart〜endの部分要素	collections.deque(itertools.islice(deq, start, end))
＜オプション＞ペルーに色を設定する	color = 'peru'
データフレームの中の列をリストを境界値としてビン分割する	pd.cut(df[col], aList)
＜オプション＞グラフの色をダークシアンに設定する	color = 'darkcyan'
データ列からユニークな要素を抽出し、リスト化する	ds.unique().tolist()
文字列がリストの要素か調べる	element in aList
CSVを読む	pd.read_csv(filename, sep=',')
折れ線グラフを描画して、その色をライトスレイグレーに設定する	plt.plot(データ列, データ列2, color='lightslategrey')
ファイルからバイナリ書き込みストリームをオープンして]、fとする	f = open(filepath, mode='wb')
グラフの横軸にuntitledというラベルを付ける	plt.xlabel(untitled)
データフレームを列によって昇順にソートする	df.sort_values(by=column, ascending=True)
リストとリストについて散布図を描画して、マーカーをポイントに設定する	plt.plot(xdata, ydata, marker='.')
ヒストグラムを一点鎖線で描画する	plt.hist(データ列, linestyle='dashbot')
実数が無限大か調べる	math.isinf(x)
単位正方行列	np.identity(N)
nがn2よりも小さいか調べる	n < n2
＜オプション＞三角マーカーを使う	marker = '^'
折れ線グラフの色を耐火レンガに設定する	plt.plot(データ列, データ列2, color='firebrick')
ファイルを文字コードtextで書き込み用にオープンする]	open(filepath, mode='w', encoding=text)
角度のラジアン	math.radians(degree)
ヒストグラムの線のスタイルを実線に設定する	plt.hist(データ列, linestyle='solid')
ゼロ埋めされたベクトル	np.zeros(要素数)
＜オプション＞文字コードtextを使う	encoding = text
綺麗なグラフを使用する	import seaborn as sns
データフレームの中に文字列と文字列がいくつあるか数える	df.isin([value, value2]).sum()
＜オプション＞ゴールデンロッド色を使う	color = 'goldenrod'
データ列と配列の散布図に右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>')
ヒストグラムの色をシスルに変更する	plt.hist(データ列, color='thistle')
折れ線グラフに青い四角マーカーを描画する	plt.plot(データ列, データ列2, marker='s', markerfacecolor='b')
グラフの色を濃くする	sns.set(pallete='deep')
事前に正規表現をコンパイルする	re.compile(pattern)
データフレームのリストカラムを10の位で丸めて、整数型にする	df[aList].round(-1).astype(int)
データフレームのカラムとカラムを折れ線グラフで描画する	plt.plot(df[col], df[col2])
小数点数の仮数を算出する	math.frexp(x)[0]
タプルの先頭を取り除く	aTuple[1:]
リストを複製する	aList.copy()
ふたつの集合が共通の要素を持たないか調べる	aSet.isdisjoint(aSet2)
グラフの用途をスライドに変更する	sns.set(context='talk')
リストとリストの散布図をプロットしてマーカーを丸に設定する	plt.plot(xdata, ydata, marker='o')
ヒストグラムを描画して、その色をダークグレーに設定する	plt.hist(データ列, color='darkgrey')
ユーザの入力を整数として受け取る	int(input())
折れ線グラフの左三角マーカーを青色にする	plt.plot(データ列, データ列2, marker='<', markerfacecolor='b')
日付データが木曜日か調べる	aDate.weekday() == 3
＜オプション＞シャルトリューズを用いる	color = 'chartreuse'
ヒストグラムを描画して、その色をチョコレートに設定する	plt.hist(データ列, color='chocolate')
プラム色の線グラフを描画する	plt.plot(データ列, データ列2, color='plum')
マゼンタ色のヒストグラムを描画する	plt.hist(データ列, color='magenta')
＜オプション＞グラフの色をライトグレーに設定する	color = 'lightgray'
青い淡いグラフを描画する	plt.plot(xdata, ydata, linestyle='muted', color='b')
文字列中の部分文字列の出現をカウントする	s.count(sub)
データ列のユニークな値の個数	ds.nunique()
散布図に黒い四角マーカーを使う	plt.plot(xdata, ydata, marker='s', c='k')
文字列が文字列より辞書順で後かどうか調べる	s > s2
データ列を折れ線グラフに描画して、マーカーを下三角印にする	plt.plot(データ列, データ列2, marker='v')
ゼロ埋めされた符号なし８ビット整数型の配列	np.zeros(要素数, dtype=np.uint8)
折れ線グラフのマーカーを大バツにする	plt.plot(データ列, データ列2, marker='X')
0からnまでのスライス	slice(n)
ヒストグラムを描画して、その色をライトシアンに設定する	plt.hist(データ列, color='lightcyan')
データフレームを'A'列と'B'列の値で分類する	df.groupby(['A', 'B'])
＜オプション＞エンコーディングをBOM付きに設定する	encoding = 'utf_8_sig'
折れ線グラフの色をレモンシフォンに設定する	plt.plot(データ列, データ列2, color='lemonchiffon')
カラーコードの右三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='>', c=rgb)
n2がnより大きく、かつ、n3未満か調べる	n < n2 and n2 < n3
ヒストグラムの色をライトブルーに設定する	plt.hist(データ列, color='lightblue')
リストを青色にする	f'\033[34m{value}\033[0m'
赤色の右三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='>', c='r')
ふたつの集合が集合と互いに素か調べる	aSet.isdisjoint(aSet2)
リストとリストの折れ線グラフを透明度alphaで描画する	plt.plot(xdata, ydata, alpha=alpha)
折れ線グラフのマーカーを丸にする	plt.plot(データ列, データ列2, marker='o')
データフレームとデータ列を一つにする	pd.concat([df, ds], axis=1)
リストに文字列を追加する	aList.append(element)
折れ線グラフの色をペルーに設定する	plt.plot(データ列, データ列2, color='peru')
本日をISO形式の文字列に変換する	datetime.datetime.today().isoformat()
リストとリストについての散布図に黒いポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.', c='k')
日付データの月数	aDate.month
データフレームから破壊的に重複を削除する	df.drop_duplicates(inplace=True)
TSVでJSONLファイルにデータフレームを保存する	df.to_csv(filename, sep='\t')
リストとリストでパステル調のグラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='pastel', color=rgb)
前もって複数行対応として正規表現をコンパイルする	re.compile(pattern, flag=re.MULTILINE)
円周率	math.pi
リストとリストで色差別ないグラフを描いて、線幅をnに設定する	plt.plot(xdata, ydata, linestyle='colorblind', color=rgb)
淡い色で配列についてのヒストグラムを描画する	plt.hist(xdata, color='muted')
折れ線グラフの色をペールグリーンに設定する	plt.plot(データ列, データ列2, color='palegreen')
ヒストグラムを描画して、その色をハニーデューに設定する	plt.hist(データ列, color='honeydew')
データ列の欠損値を直前の値で埋める	ds.fillna(method='ffill')
データ列の母標準偏差	ds.std(ddof=0)
赤色の丸マーカーを配列とリストについての散布図に描く	plt.plot(xdata, ydata, marker='o', c='r')
＜オプション＞ブラックにグラフの色を設定する	color = 'black'
イテラブルを色差別ない色の柱状図で描く	plt.hist(xdata, color='colorblind')
折れ線グラフのポイントマーカーを黒くする	plt.plot(データ列, データ列2, marker='.', markerfacecolor='k')
全要素を０で初期化された複素数型の行列	np.zeros(行数, 列数, dtype=bool)
データフレームのそれぞれのグループごとの最小値	df.groupby(column).min()
JSONLファイルを読み込む	pd.read_json(filename, orient='records', lines=True)
文字列中に非小文字が含まれるか調べる	any(not c.islower() for c in s)
エクセルファイルファイルからn番目のシートをデータフレームとして読み込む	pd.read_excel(filename, sheet_name=n)
TSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
ふたつの集合のいずれか一方だけの集合	aSet.symmetric_difference(aSet2)
データフレームのカラムを丸める	df[col].round()
折れ線グラフを描画してその色をオレンジレッドに設定する	plt.plot(データ列, データ列2, color='orangered')
osモジュールをインポートする	import os
黒い丸マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='o', c='k')
ヒストグラムの色をミディアムターコイズに設定する	plt.hist(データ列, color='mediumturquoise')
文字列中の部分文字列をカウントする	s.count(sub)
データ列とラベルを指定して、棒を描画する	plt.bar(ラベル列, データ列)
折れ線グラフを描画して、その色をミディアムアクアマリンに設定する	plt.plot(データ列, データ列2, color='mediumaquamarine')
数列と数列のパステル調のを描画して、その色を青くする	plt.plot(xdata, ydata, linestyle='pastel', color='b')
ファイルのファイルサイズ	os.path.get_size(filepath)
リストとリストについて散布図を描画して、三角マーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='^', c=rgb)
データフレームを'A'列によってソートする	df.sort_values(by='A')
イテラブルをy座標、データ列を横軸として、大きさnの散布図を描画する	plt.scatter(xdata, ydata, s=n)
第二コマンド引数	sys.argv[1]
グラフの描画で色差別ないカラーパレットを使う	sns.set(pallete='colorblind')
折れ線グラフを描画して、その色をグリーンイエローに設定する	plt.plot(データ列, データ列2, color='greenyellow')
データ列の曜日が何日目か見る	ds.dt.dayofweek
データフレームのカラムを1000の位で丸める	df[col].round(-3)
リストとリストの折れ線グラフを描画する	plt.plot(xdata, ydata)
データフレームのカラムが何時か見る	df[col].dt.hour
＜オプション＞グラフの色をコーラルに設定する	color = 'coral'
＜オプション＞ダークオリーブグリーン色を使用する	color = 'darkolivegreen'
折れ線グラフに星マーカーを使う	plt.plot(データ列, データ列2, marker='*')
折れ線グラフを描画してその色を青に設定する	plt.plot(データ列, データ列2, color='blue')
日付時刻データと日付時刻データの時間差が何秒か知る	(aDatetime - aDatetime2).total_seconds()
10を底とする対数	math.log10(x)
ヒストグラムを描画して、その色を耐火レンガに設定する	plt.hist(データ列, color='firebrick')
＜オプション＞ダークシアン色を使う	color = 'darkcyan'
＜オプション＞オリーブ色を使う	color = 'olive'
文字列の末尾から空白を取り除く	s.rstrip(' ')
データフレームの列の値がx、かつ列がx2である行を選ぶ	df[(df[column] == x) & (df[column2] == x2)]
文字列は全て十進数字	s.isdecimal()
＜オプション＞グラフの色をオリベドラブに設定する	color = 'olivedrab'
折れ線グラフの色をパウダーブルーに設定する	plt.plot(データ列, データ列2, color='powderblue')
ミッドナイトブルー色のヒストグラムを描画する	plt.hist(データ列, color='midnightblue')
ひとつでも非アルファベットが文字列中にある	any(not c.isalpha() for c in s)
＜オプション＞インディアンレッド色を使う	color = 'indianred'
青いヒストグラムを描画する	plt.hist(データ列, color='b')
散布図を黒色の四角マーカーとして描画する	plt.plot(xdata, ydata, marker='s', c='k')
データフレームのカラムの値を正規表現patternでまとめてreplに置き換える	df[col].replace(pattern, repl, regex=True)
＜オプション＞ラベンダーブラッシュ色を使う	color = 'lavenderblush'
n個の整数列	list(range(n))
折れ線グラフに黒い丸マーカーを描画する	plt.plot(データ列, データ列2, marker='o', markerfacecolor='k')
データフレームの列の文字列が正規表現文字列にマッチしないデータを選択する	df[not df[column].str.match(s)]
折れ線グラフに線幅nのダイアモンドマーカーを描画する	plt.plot(データ列, データ列2, marker='D', markeredgewidth=n)
散布図に大バツマーカーを使う	plt.plot(xdata, ydata, marker='X')
イテラブルの長さを制限する	collections.deque(iterable, maxlen=n)
文字列をシアンでプリントする	print(f'\033[36m{value}\033[0m')
データフレームの列と列の相関行列ピアソンとして	df[[column, column2]].corr(method='pearson')
文字列を最後の部分文字列で分けたときの後半の文字列	s.rpartition(sub)[-1]
リストとリストについての散布図にカラーコードの右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', c=rgb)
線グラフを描画してその色をダークグレーに設定する	plt.plot(データ列, データ列2, color='darkgrey')
オブジェクトは辞書クラスか調べる	isinstance(obj, dict)
＜オプション＞グラフの色をサンディーブラウンに設定する	color = 'sandybrown'
データフレームを各列毎にグループ化して、列の合計を求める	df.groupby(column)[column2].sum()
データフレームを列でグループ化して、列の要約統計量を求める	df.groupby(column).describe()[column2]
折れ線グラフの色をレベッカパープルに指定する	plt.plot(データ列, データ列2, color='rebeccapurple')
線グラフの色をパウダーブルーに設定する	plt.plot(データ列, データ列2, color='powderblue')
データフレームを表示するとき折り返しをしない	pd.set_option('expand_frame_repr', False)
データフレームからカテゴリデータの列名の一覧を使う	df.select_dtypes('object').columns
ファイルをオープンして]、書き込みストリームを使う	open(filepath, mode='w')
＜オプション＞グラフの色をプラムに設定する	color = 'plum'
ヒストグラムを描画して、その色をライトサーモンに設定する	plt.hist(データ列, color='lightsalmon')
文字列をセパレータで分割して、文字列リストに変換する	s.split(sep)
文字列を下線付きでプリントする	print(f'\033[4m{value}\033[0m')
リストとリストについて散布図を描画して、マーカーをダイアモンドに設定する	plt.plot(xdata, ydata, marker='D')
ヒストグラムの色をスカイブルーに設定する	plt.hist(データ列, color='skyblue')
散布図に色差別ない色のマーカーを使う	plt.plot(xdata, ydata, c='colorblind')
＜オプション＞線種を破線に設定する	linestyle = 'dashed'
オブジェクトは文字列型のインスタンスかどうか	isinstance(obj, str)
標準出力を使う	sys.stdout
グラフのカラーパレットをパステル調にする	sns.set(pallete='pastel')
＜オプション＞ダーク・スラテグレーにグラフの色を設定する	color = 'darkslategrey'
組の最初の要素	aTuple[0]
データ列の中に文字列と文字列がいくつあるか数える	ds.isin([value, value2]).sum()
オブジェクトは集合クラスか調べる	isinstance(obj, set)
綺麗なグラフを使う準備をする	import seaborn as sns
エポック秒を日付時刻に変換する	datetime.datetime.fromtimestamp(timestamp)
折れ線グラフを描画して、その色を青紫に設定する	plt.plot(データ列, データ列2, color='violet')
＜オプション＞ライトスチールブルー色を使う	color = 'lightsteelblue'
カラーコードのバツマーカーで散布図をプロットする	plt.plot(xdata, ydata, marker='x', c=rgb)
日付データの曜日を整数で使う	aDate.weekday()
黒いバツマーカーを折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='k')
＜オプション＞シエナにグラフの色をセットする	color = 'sienna'
折れ線グラフの左三角マーカーを青くする	plt.plot(データ列, データ列2, marker='<', markerfacecolor='b')
リストの最後に文字列を追加する	aList.append(element)
文字列が全て空白文字からなるか調べる	s.isspace()
カラーコードの四角マーカーとして散布図をプロットする	plt.plot(xdata, ydata, marker='s', c=rgb)
データフレームを列によってによって破壊的にソートする	df.sort_values(by=column, inplace=True)
データフレームの第一四分位数	df.quantile(0.25)
数式の変数に数式を代入する	e.subs(z, e2)
文字列をキャピタライズする	s.capitalize()
ふたつの集合の対称差集合を算出する	aSet.symmetric_difference(aSet2)
両端キューの要素をインプレースに反転する	deq.reverse()
文字列をセパレータによって区切り、、列挙する	s.split(sep)
＜オプション＞グラフの色を紺碧に設定する	color = 'azure'
Pandasで、エポック秒のデータフレームのcollから日付データに変換する	pd.to_datetime(df[col], unit='s', utc=True)
折れ線グラフの下三角マーカーを黒くする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='k')
ヒストグラムの色をライトイエローに設定する	plt.hist(データ列, color='lightyellow')
リストのn番目以降の部分を取り出す	aList[n:]
配列の差	aArray - aArray2
線グラフの色をダークマゼンタにセットする	plt.plot(データ列, データ列2, color='darkmagenta')
カウンタからゼロカウントを取り出す	+aCounter
文字列の開始位置番目と終了位置番目の間に部分文字列が含まれないか確認する	s.find(sub, start, end) == -1
＜オプション＞耐火レンガ色を使う	color = 'firebrick'
折れ線グラフを描画して、その色をスラグレーに設定する	plt.plot(データ列, データ列2, color='slategray')
＜オプション＞耐火レンガ色を使用する	color = 'firebrick'
レベッカパープル色の線グラフを描画する	plt.plot(データ列, データ列2, color='rebeccapurple')
＜オプション＞ブランチドアーモンド色を使う	color = 'blanchedalmond'
散布図を右三角マーカーで描画する	plt.plot(xdata, ydata, marker='>')
折れ線グラフの色をアリスブルーに設定する	plt.plot(データ列, データ列2, color='aliceblue')
文字列中の小文字を大文字に変換する	s.upper()
リストとリストについて濃い色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='deep')
データフレームから数値データの列のみ選択する	df.select_dtypes('number')
データフレームをCSVファイルでJSONLファイルに保存する	df.to_csv(filename)
現在の作業ディレクトリ	os.getcwd()
辞書のキーの値	aDict[key]
折れ線グラフの丸マーカーを黄色くする	plt.plot(データ列, データ列2, marker='o', markerfacecolor='y')
折れ線グラフを描画する	plt.plot(xdata, ydata)
データフレームとデータ列を横方向に連結する	pd.concat([df, ds], axis=1)
データ列の秒	ds.dt.second
事前に大文字・小文字を無視して正規表現をコンパイルする	re.compile(pattern, flag=re.IGNORECASE)
数値を赤色にする	f'\033[31m{value}\033[0m'
＜オプション＞グラフの線種を実線に変更する	linestyle = 'solid'
CSVファイルからデータフレームを読み込む	pd.read_csv(filename, sep=',')
ヒストグラムの色を耐火レンガに設定する	plt.hist(データ列, color='firebrick')
リストの文字列の位置をエラーなく使う	aList.index(element) if element in aList else -1
